ezloophw-py logger started on:,2026-1-20_143126,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1030.,1030,1030,1030.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
52290272,0.699000,0.000000,0.000000,1022.35,1022.11,1023.65,1024.68,0.0,0.0,1.0,1.0,1.0,0.91,1022.49,634.1602281167180,666.0786903425620,-0.171645387812544,637.0282114172340,315.5500726779200,0.15650751165472200,647.9574733542950,38.156782563732600,-4.098083092331810,-0.46877676721659600,-1.3187261896244200
52290371,0.801000,0.000000,0.000000,1022.42,1022.14,1023.6,1024.74,0.0,0.0,1.0,1.0,1.0,0.9,1022.55,634.1602281167180,666.0786903425620,-0.171645387812544,637.0282114172340,315.5500726779200,0.15650751165472200,647.9574733542950,38.156782563732600,-4.098083092331810,-0.46877676721659600,-1.3187261896244200
52290471,0.901000,0.000000,0.000000,1022.48,1022.16,1023.6,1024.67,0.0,0.0,1.0,1.0,1.0,0.92,1022.43,634.1487104614150,666.0917963424460,-0.15100019817127000,637.0281048962730,315.5270559174890,0.13404308225086600,647.9920617984960,38.1505568588716,-4.125243080126360,-0.4705933593551590,-1.3223850073565000
52290571,1.002000,0.000000,0.000000,1022.28,1022.14,1023.65,1024.63,0.0,0.0,1.0,1.0,1.0,0.92,1022.51,634.1602467185210,666.0665349093620,-0.34243067450166700,637.0076548903150,315.5299972501430,0.1608512483938550,647.9713592195590,38.136842633668200,-4.164787838751060,-0.46540336070447900,-1.3325771462701200
52290671,1.101000,0.000000,0.000000,1022.16,1022.1,1023.64,1024.69,0.0,0.0,1.0,1.0,1.0,0.92,1022.44,634.1406429342660,666.0853869621180,-0.1265711632206320,637.020707948748,315.52200606712400,0.17855647780615400,647.9669097602340,38.15066922322770,-4.120084807542820,-0.4707047758607060,-1.3185423539107900
52290771,1.201000,0.000000,0.000000,1022.13,1022.21,1023.59,1024.71,0.0,0.0,1.0,1.0,1.0,0.92,1022.54,634.1533971035030,666.0820587781920,-0.360248258873665,637.0087604609810,315.51773634664600,0.21937142911879700,647.9575289246480,38.131653370869800,-4.123893452631680,-0.46666657497521600,-1.3270280719510800
52290871,1.301000,0.000000,0.000000,1022.17,1022.17,1023.66,1024.62,0.0,0.0,1.0,1.0,1.0,0.93,1022.49,634.1497593641330,666.0657362143820,-0.32971004621256100,637.006132720793,315.5242205150930,0.21414992088783300,647.9674031160560,38.132305164759000,-4.119973253375660,-0.4668620083706300,-1.3291680029172000
52290971,1.401000,0.000000,0.000000,1022.2,1022.19,1023.57,1024.76,0.0,0.0,1.0,1.0,1.0,0.91,1022.59,634.1086128361110,666.0686733986320,-0.12036451456599300,637.0154978095300,315.5290916365840,0.196941240243351,647.9497131698500,38.12510975106350,-4.122496726078460,-0.4751201620318870,-1.3069740350824600
52291071,1.501000,0.000000,0.000000,1022.31,1022.17,1023.57,1024.64,0.0,0.0,1.0,1.0,1.0,0.94,1022.56,634.1559871708360,666.0788444302730,-0.30728690937764100,636.9995091625230,315.5346411759430,0.20631611380984800,647.9519495526810,38.12215190498530,-4.120236768188070,-0.46475803699631800,-1.3313874187840300
