ezloophw-py logger started on:,2026-3-16_144706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
53230108,0.000000,0.000000,0.000000,1006.21,1006.45,1007.64,1008.47,0.0,0.0,1.0,1.0,1.0,1.0,1400.44,0.0,0.0,0.0,0.0,0.0,0.0,326.11989243137600,449.1654028554010,6.575112009656740,323.7457440151200,219.40546405094300,7.569532491047960,324.0281876471820,29.672405178876400,-5.850416210727750,0.5920259369277930,-1.2693444222907200
53230209,0.100000,0.000000,0.000000,1006.18,1006.37,1007.68,1008.58,0.0,0.0,1.0,1.0,1.0,1.0,1400.1,0.0,0.0,0.0,0.0,0.0,0.0,326.1710162753920,449.140279182919,6.686111410589040,323.7963813088840,219.37247176150200,7.528319894294770,323.9992328082560,29.768075044201400,-5.840966485355630,0.5921269789569680,-1.2455528019739600
53230309,0.200000,0.000000,0.000000,1006.19,1006.53,1007.8,1008.56,0.0,0.0,1.0,1.0,1.0,1.0,1399.96,0.0,0.0,0.0,0.0,0.0,0.0,326.1859394651190,449.1620626666950,6.669365518257930,323.7242083788700,219.37740504839300,7.475191275721960,323.98184096601400,29.768193491181800,-5.853816688612900,0.6137981850363830,-1.3054472861911500
53230409,0.300000,0.000000,0.000000,1006.17,1006.49,1007.67,1008.61,0.0,0.0,1.0,1.0,1.0,1.0,1400.01,0.0,0.0,0.0,0.0,0.0,0.0,326.1245288946510,449.15420110950800,6.6033631681130300,323.79183723402000,219.37627496113500,7.533377585623300,323.94963654372100,29.744471844988900,-5.883366070576240,0.581643319967752,-1.2109644672855400
53230508,0.400000,0.000000,0.000000,1006.24,1006.46,1007.69,1008.55,0.0,0.0,1.0,1.0,1.0,1.0,1399.83,0.0,0.0,0.0,0.0,0.0,0.0,326.1333363556650,449.150831462207,6.598757077289530,323.7096672386750,219.3704271580950,7.486155181675730,323.99185110054200,29.76872486755760,-5.849001217279190,0.6043198602789620,-1.293912859980610
53230608,0.501000,0.000000,0.000000,1006.26,1006.48,1007.72,1008.49,0.0,0.0,1.0,1.0,1.0,1.0,1400.06,0.0,0.0,0.0,0.0,0.0,0.0,326.116993267937,449.1521414008210,6.619010391973,323.80461518075000,219.38487772659900,7.572067381446140,323.9677470914810,29.768524797598700,-5.83341647173776,0.5766053447286640,-1.2025037358552900
53230708,0.601000,0.000000,0.000000,1006.17,1006.46,1007.72,1008.53,0.0,0.0,1.0,1.0,1.0,1.0,1399.8,0.0,0.0,0.0,0.0,0.0,0.0,326.130216343509,449.150066330298,6.6050130249251300,323.80737046241400,219.38451341094300,7.580415759465060,323.9776665094060,29.75062520929360,-5.898254688936310,0.5792196868334170,-1.2098924247537900
53230808,0.704000,0.000000,0.000000,1006.21,1006.54,1007.67,1008.5,0.0,0.0,1.0,1.0,1.0,1.0,1399.87,0.0,0.0,0.0,0.0,0.0,0.0,326.1285600950990,449.14973118573700,6.594567216949950,323.7269811905360,219.3939087837640,7.530855987072840,323.98098242058700,29.77276575986340,-5.829795734882310,0.5988763326693520,-1.2745014367924400
53230909,0.802000,0.000000,0.000000,1006.11,1006.5,1007.64,1008.43,0.0,0.0,1.0,1.0,1.0,1.0,1399.81,0.0,0.0,0.0,0.0,0.0,0.0,326.1244778447030,449.1487657633120,6.561679793712260,323.81232181708900,219.38546253202300,7.5955996758290000,323.9353460883290,29.69174960313900,-5.860366036061440,0.5765599139336390,-1.190278521334680
53231008,0.901000,0.000000,0.000000,1006.16,1006.48,1007.72,1008.53,0.0,0.0,1.0,1.0,1.0,1.0,1399.78,0.0,0.0,0.0,0.0,0.0,0.0,326.1272878589310,449.1440040047180,6.580907027059400,323.80310054417800,219.3876265854410,7.553367234450390,323.9916642249210,29.76492186214130,-5.82993110475092,0.5795773043087920,-1.2161303781100300
53231108,1.001000,0.000000,0.000000,1006.14,1006.47,1007.53,1008.44,0.0,0.0,1.0,1.0,1.0,1.0,1399.69,0.0,0.0,0.0,0.0,0.0,0.0,326.1920422227570,449.15196933703700,6.65946349880735,323.7894454314170,219.3567827028530,7.496109632655920,324.0123007507700,29.630541688971200,-5.700922339013210,0.5990275179680280,-1.2653554963276800
53231208,1.102000,0.000000,0.000000,1006.16,1006.52,1007.68,1008.48,0.0,0.0,1.0,1.0,1.0,1.0,1399.64,0.0,0.0,0.0,0.0,0.0,0.0,326.12103916877100,449.1446620110350,6.594350870223630,323.73732102383600,219.396001535585,7.54581595602247,323.97996113435500,29.77405320668150,-5.849196260010010,0.5944412845105570,-1.262198167811950
53231308,1.201000,0.000000,0.000000,1006.13,1006.5,1007.79,1008.51,0.0,0.0,1.0,1.0,1.0,1.0,1399.73,0.0,0.0,0.0,0.0,0.0,0.0,326.1860399375020,449.15830303850300,6.671757441248870,323.79630079279400,219.3761165674670,7.531996524357530,323.9665860817140,29.749336253582900,-5.912981016776040,0.5958557233722120,-1.2431631759227900
53231409,1.301000,0.000000,0.000000,1006.11,1006.44,1007.63,1008.44,0.0,0.0,1.0,1.0,1.0,1.0,1399.73,0.0,0.0,0.0,0.0,0.0,0.0,326.1895937962310,449.1518101339100,6.649178723250980,323.722139435822,219.37882643517100,7.478945561280800,323.999536423924,29.682755092197100,-5.7574120244688400,0.6152563486903240,-1.3142975919566000
53231509,1.402000,0.000000,0.000000,1006.2,1006.46,1007.69,1008.44,0.0,0.01,1.0,1.0,1.0,1.0,1399.71,0.0,0.0,0.0,0.0,0.0,0.0,326.1994359051100,449.19821758950900,6.600677134417440,323.78740679872900,219.3794530978190,7.542177947170860,323.9972435320970,29.768764890884700,-5.849707722885060,0.6013173649120210,-1.266042306761500
53231608,1.501000,0.000000,0.000000,1006.13,1006.54,1007.59,1008.48,0.0,0.01,1.0,1.0,1.0,1.0,1399.74,0.0,0.0,0.0,0.0,0.0,0.0,326.09391915962000,449.150301204429,6.5841432134604900,323.72737954491600,219.39280011751000,7.503649607566530,323.9591698060620,29.7650508033708,-5.830188128164810,0.5901349748082580,-1.2503050427380900
53231709,1.601000,0.000000,0.000000,1006.18,1006.55,1007.73,1008.38,0.0,0.01,1.0,1.0,1.0,1.0,1399.72,0.0,0.0,0.0,0.0,0.0,0.0,325.76651693401900,448.9608773811390,6.2839958395154500,323.4512067561510,218.23077376564700,7.608484159921870,323.66313570469600,28.216891825241800,-5.82399133911698,0.5749273587494520,-1.2137586236202000
53231809,1.701000,0.000000,0.000000,1006.06,1006.51,1007.61,1008.42,0.0,0.01,1.0,1.0,1.0,1.0,1399.75,0.0,0.0,0.0,0.0,0.0,0.0,325.8254683474920,449.77569124147300,6.916709018636500,323.35738860162100,218.10268410294800,7.662011377280250,323.55661100938100,27.295969652212300,-5.627931279124140,0.6103654688464170,-1.280553774819180
53231909,1.801000,0.000000,0.000000,1006.18,1006.58,1007.67,1008.43,0.0,0.01,1.0,1.0,1.0,1.0,1399.58,0.0,0.0,0.0,0.0,0.0,0.0,325.9316763361980,450.38659403779200,6.714546225756810,323.2362610395900,218.0850761903280,7.5649191356245,323.59037047845700,27.146911595476300,-5.6278447631197300,0.6647782238590240,-1.4358157338850300
53232010,1.902000,0.000000,0.000000,1006.16,1006.51,1007.69,1008.5,0.0,0.01,1.0,1.0,1.0,1.0,1399.7,0.0,0.0,0.0,0.0,0.0,0.0,325.7596819310430,449.73324928547900,6.630516963382030,323.300332301548,218.08895556661000,7.660340103735910,323.59037047845700,27.146911595476300,-5.6278447631197300,0.6647782238590240,-1.4358157338850300
53232110,2.002000,0.000000,0.000000,1006.17,1006.59,1007.58,1008.48,0.0,0.01,1.0,1.0,1.0,1.0,1399.82,0.0,0.0,0.0,0.0,0.0,0.0,325.7028773505530,449.23023112885200,6.3428652455519500,323.4147636063180,218.12813572136500,7.443228139718980,323.6034544235200,27.666283982792900,-5.999129426798410,0.5672600105094720,-1.1912830096323500
53232210,2.101000,0.000000,0.000000,1006.11,1006.53,1007.69,1008.45,0.0,0.01,1.0,1.0,1.0,1.0,1399.67,0.0,0.0,0.0,0.0,0.0,0.0,325.7933719749710,448.8690789673790,6.0864508985422400,323.43498983128600,218.2006724792970,7.6571618631499700,323.6159467032730,28.138292376517300,-5.738425508166880,0.5857786825951890,-1.2261082021330100
53232311,2.202000,0.000000,0.000000,1006.2,1006.51,1007.65,1008.42,0.0,0.01,1.0,1.0,1.0,1.0,1399.73,0.0,0.0,0.0,0.0,0.0,0.0,325.8009487322970,448.78198322751400,6.1376340865613,323.54369501632700,218.48929417356100,7.661394065954120,323.5626106563740,28.557319480330600,-5.81018944088157,0.5615765322438100,-1.1288592460803500
53232410,2.302000,0.000000,0.000000,1006.23,1006.57,1007.69,1008.42,0.0,0.01,1.0,1.0,1.0,1.0,1399.63,0.0,0.0,0.0,0.0,0.0,0.0,325.8497497780350,448.97858792024300,6.394122355043560,323.62949941165500,219.00093726251800,7.447978806958780,323.686454125173,29.169649566964600,-5.671381879402910,0.5531277632413510,-1.1234458677045100
53232510,2.402000,0.000000,0.000000,1006.15,1006.56,1007.59,1008.46,0.0,0.01,1.0,1.0,1.0,1.0,1399.63,0.0,0.0,0.0,0.0,0.0,0.0,326.0984562990300,449.1340702232470,6.571642179275110,323.7715882714810,219.33186498253800,7.501849028362760,323.93989587607900,29.667215701413200,-5.750204344813650,0.5801300355048050,-1.2111040891686200
53232611,2.503000,0.000000,0.000000,1006.2,1006.58,1007.71,1008.45,0.0,0.01,1.0,1.0,1.0,1.0,1399.62,0.0,0.0,0.0,0.0,0.0,0.0,326.11053453636500,449.13238856228400,6.575031666134320,323.78156110180200,219.37249433012300,7.585941575063800,323.9722328793570,29.760168254270800,-5.833966360183220,0.5807618375130830,-1.2191395730530000
53232710,2.602000,0.000000,0.000000,1006.2,1006.49,1007.62,1008.55,0.0,0.01,1.0,1.0,1.0,1.0,1399.83,0.0,0.0,0.0,0.0,0.0,0.0,326.1072332390850,449.1270846791390,6.586762872613290,323.7190663598860,219.36809168708200,7.455435553907830,323.97839828776600,29.755355744037400,-5.827520012398310,0.5955238300772580,-1.2694106225468200
53232811,2.703000,0.000000,0.000000,1006.21,1006.54,1007.56,1008.41,0.0,0.01,1.0,1.0,1.0,1.0,1399.68,0.0,0.0,0.0,0.0,0.0,0.0,326.10663625260300,449.1433832608740,6.597763321206230,323.7079363722600,219.36928612133600,7.460836226670290,323.9930924936210,29.758250175510500,-5.8344589984139800,0.5981108788896450,-1.2823888411315600
