ezloophw-py logger started on:,2026-3-19_123309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
45200594,0.001000,1.670663,1.670663,1026.48,1026.51,1027.82,1028.65,-0.02,0.0,0.18,1.0,0.05,1.0,1400.58,-0.00472588454135227,-0.038489237929077500,4.46881921815468E-05,3.76724362551655E-05,0.0,0.0,326.1394685988510,449.2930116364420,6.562080660870930,326.66721896646600,219.37467177567600,6.285423218670010,331.22183174839900,29.769865746346300,-6.954498684201790,-0.1315154572435670,-1.1130413378320700
45200695,0.100000,1.968773,1.968773,1026.31,1026.57,1027.75,1028.49,-0.01,0.0,0.18,1.0,0.06,1.0,1398.15,-0.004722809465738090,-0.03849035464936290,3.94447868583945E-05,-1.26439666500812E-05,0.0,0.0,326.13658327928900,449.2942064893670,6.542876243743020,326.67315163073000,219.37438689182700,6.287149429148430,331.24145690425000,29.760742938869500,-6.9702736385903200,-0.1337120314391630,-1.112719158496840
45200795,0.200000,2.280105,2.280105,1026.28,1026.51,1027.74,1028.61,-0.01,0.0,0.19,1.0,0.06,1.0,1398.46,-0.004719795595032330,-0.03849074978948990,3.54666226975146E-05,-1.96690176821719E-05,0.0,0.0,326.13768715616000,449.3107401074800,6.537712075756730,326.69066199179400,219.3822110231200,6.245114379830380,331.2116151158680,29.78027997217120,-6.942836841248960,-0.13779526751437000,-1.0903367909137300
45200896,0.302000,2.592795,2.592795,1026.31,1026.5,1027.73,1028.58,-0.01,0.0,0.27,1.0,0.16,1.0,1398.85,-0.004717385828242860,-0.03849080507095700,1.78182404884039E-05,2.39694394302335E-05,0.0,0.0,326.13887332318000,449.3003057128810,6.549820274422960,326.662063874902,219.37322472074200,6.27932591702028,331.2135606351940,29.77490987188490,-6.960350751449390,-0.1303741978919380,-1.11442984494183
45200995,0.404000,2.919022,2.919022,1026.34,1026.46,1027.74,1028.56,-0.01,0.01,0.31,1.0,0.2,1.0,1399.25,-0.0047158867170585800,-0.03848637961597620,1.89862929556896E-05,3.79114153314828E-05,0.0,0.0,326.12440540429300,449.3145346781080,6.540245594817040,326.6643914430740,219.4020867105610,6.268632716950810,331.17320841717,29.788606980293700,-6.968495218166010,-0.13456802536534200,-1.0930429929676300
45201095,0.503000,3.231506,3.231506,1026.35,1026.57,1027.74,1028.47,-0.02,0.0,0.35,1.0,0.23,1.0,1399.43,-0.004714090966193150,-0.038483901512968200,2.21863176432768E-05,2.98965665907153E-05,0.0,0.0,326.1348114515860,449.28835630225500,6.532100070084740,326.6555226023110,219.36986282004700,6.297120924937020,331.1876226800460,29.772973864064700,-6.987726406891580,-0.12976120285730000,-1.1098078985049700
45201195,0.602000,3.535386,3.535386,1027.1,1026.75,1027.61,1028.66,-0.02,0.01,0.32,1.0,0.24,1.0,1399.66,-0.0047103009200331000,-0.03848134993808910,4.63964760179581E-05,1.03292426858498E-05,0.0,0.0,326.1331808341320,449.3056628454160,6.5105393853744,326.65519215801800,219.3945685062810,6.271022595951860,331.1395014957230,29.796428972862900,-6.975747984536310,-0.13008939132655000,-1.094708488269490
45201296,0.702000,3.854390,3.854390,1026.95,1026.73,1027.81,1028.62,-0.02,0.01,0.37,1.0,0.31,1.0,1399.87,-0.004704308645741940,-0.0384814382977123,6.90178297854415E-05,1.97058813676304E-06,0.0,0.0,326.1396719483740,449.32244738238600,6.518987507142320,326.61867198871800,219.41200999720800,6.286720046661440,331.07386573766500,29.788850811378800,-7.039332944982160,-0.11937100943054300,-1.1071739842624200
45201395,0.802000,4.168396,4.168396,1028.04,1026.91,1027.7,1028.59,-0.02,0.01,0.32,1.0,0.35,1.0,1399.84,-0.004693874037387230,-0.03848128091274520,0.00012512402153614100,1.20402902702516E-05,0.0,0.0,326.1351240258040,449.29122401987600,6.522063032256410,326.54412709193600,219.35151351132000,6.342337957374860,330.9796597671290,29.7448078786401,-7.10546823221916,-0.10191421364724800,-1.1362663643907000
