ezloophw-py logger started on:,2026-3-19_150727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54451067,0.000000,0.000000,0.000000,1023.99,1024.3,1025.38,1026.44,0.0,0.02,1.0,1.0,1.0,1.0,1404.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54451166,0.100000,0.000000,0.000000,1023.97,1024.37,1025.58,1026.38,0.0,0.02,1.0,1.0,1.0,1.0,1403.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54451266,0.200000,0.000000,0.000000,1024.08,1024.26,1025.55,1026.35,0.0,0.02,1.0,1.0,1.0,1.0,1403.18,0.0,0.0,0.0,0.0,0.0,0.0,326.17136135806900,449.2750188301940,6.540879814825200,323.8391797496110,219.4329538236320,7.665016976513220,323.20141053360300,29.479638786232400,-5.154946819641810,0.5813538855507030,-0.970337624438939
54451367,0.302000,0.000000,0.000000,1023.91,1024.24,1025.46,1026.34,0.0,0.02,1.0,1.0,1.0,1.0,1402.69,0.0,0.0,0.0,0.0,0.0,0.0,326.132777571768,449.24847760756000,6.540541239736550,323.8470269627350,219.4547301881550,7.594837288457200,323.1933984014570,29.49749732059770,-5.110821889080200,0.5699003796349700,-0.9426510663453110
54451466,0.403000,0.000000,0.000000,1023.98,1024.38,1025.45,1026.39,0.0,0.02,1.0,1.0,1.0,1.0,1402.25,0.0,0.0,0.0,0.0,0.0,0.0,326.1275975587180,449.25437662647100,6.5413419224996300,323.88306087380800,219.51081479958200,7.8525520801532700,323.2242511562380,29.448517113949600,-5.13017216446379,0.5597475141585770,-0.9208924353703280
54451566,0.501000,0.000000,0.000000,1024.07,1024.26,1025.45,1026.47,0.0,0.02,1.0,1.0,1.0,1.0,1401.56,0.0,0.0,0.0,0.0,0.0,0.0,326.13132326670600,449.27179183572900,6.542615784717330,323.866120766731,219.51685874811400,7.810869601399160,323.30085431979700,29.44489024632750,-5.196584458358350,0.5648729114662220,-0.9593509641705450
54451666,0.601000,0.000000,0.000000,1024.07,1024.4,1025.43,1026.4,0.0,0.02,1.0,1.0,1.0,1.0,1401.03,0.0,0.0,0.0,0.0,0.0,0.0,326.1273591607370,449.26372557365100,6.534734527038410,323.855143962336,219.45364187582300,7.603373639199800,323.22776552157100,29.446691332052500,-5.142307495356910,0.5664855813463860,-0.9437885771145420
54451766,0.701000,0.000000,0.000000,1024.03,1024.27,1025.5,1026.42,0.0,0.02,1.0,1.0,1.0,1.0,1400.64,0.0,0.0,0.0,0.0,0.0,0.0,326.1272304843500,449.25775982436800,6.538798628587130,323.806075612215,219.43749493698400,7.629849359324820,323.2545072819140,29.445610972924600,-5.183870368930570,0.5786602675940560,-0.9909847528509100
54451866,0.802000,0.000000,0.000000,1023.95,1024.31,1025.46,1026.47,0.0,0.02,1.0,1.0,1.0,1.0,1400.17,0.0,0.0,0.0,0.0,0.0,0.0,326.1221904547690,449.2661702194900,6.5274314182821200,323.85819087751900,219.49611779886800,7.807538399896920,323.182961725989,29.489931844614700,-5.137460222784670,0.5645358107506720,-0.9254592099794420
