ezloophw-py logger started on:,2026-3-25_104015
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
38419019,0.000000,0.000000,0.000000,1028.59,1028.9,1030.08,1031.04,0.0,0.0,1.0,1.0,1.0,1.0,1404.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38419118,0.000000,0.000000,0.000000,1028.66,1028.92,1030.07,1031.13,0.0,0.0,1.0,1.0,1.0,1.0,1404.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38419219,0.098000,0.000000,0.000000,1028.63,1028.96,1030.03,1031.16,0.0,0.0,1.0,1.0,1.0,1.0,1403.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38419318,0.199000,0.000000,0.000000,1028.68,1028.94,1029.91,1031.12,0.0,0.0,1.0,1.0,1.0,1.0,1402.95,0.0,0.0,0.0,0.0,0.0,0.0,326.0848316901545,448.98886687430763,6.546278398511655,321.5232574942011,219.79231738597852,8.113231881277946,318.6875109145147,28.317213901568277,-4.547774389376413,1.1401761910391321,-1.4318638297008626
38419418,0.300000,0.000000,0.000000,1028.67,1028.91,1030.05,1031.14,0.0,0.0,1.0,1.0,1.0,1.0,1402.5,0.0,0.0,0.0,0.0,0.0,0.0,326.0807651823974,448.993451276296,6.547207809167422,321.5193470001557,219.79312818285968,8.150696159036073,318.7353292150617,28.32853785133451,-4.6476200342225376,1.1401184388211876,-1.4471782509492408
38419518,0.401000,0.000000,0.000000,1028.57,1028.83,1029.96,1031.11,0.0,0.0,1.0,1.0,1.0,1.0,1402.01,0.0,0.0,0.0,0.0,0.0,0.0,326.0843188028999,448.9838365796407,6.5642532255196615,321.51760708813447,219.80088182031182,8.19066406150267,318.73116043009975,28.315200175062213,-4.60302990473366,1.1415276778593542,-1.4493618674221072
38419618,0.500000,0.000000,0.000000,1028.64,1028.84,1030.03,1030.94,0.0,0.0,1.0,1.0,1.0,1.0,1401.45,0.0,0.0,0.0,0.0,0.0,0.0,326.0750198337613,448.9892153673374,6.567991392439671,321.5383068051746,219.78765740809493,8.16211128563445,318.7188172198597,28.317573873438864,-4.568698003184394,1.133938938152166,-1.4242307868917605
38419718,0.601000,0.000000,0.000000,1028.63,1028.95,1029.95,1031.02,0.0,0.0,1.0,1.0,1.0,1.0,1400.86,0.0,0.0,0.0,0.0,0.0,0.0,326.08570079049684,448.9835578545755,6.570219820674615,321.5193738851949,219.79058836819993,8.119214533860301,318.73528920365817,28.313787915055507,-4.615801553752288,1.1413816512494221,-1.4497377776754217
38419818,0.701000,0.000000,0.000000,1028.64,1028.9,1030.06,1031.08,0.0,0.0,1.0,1.0,1.0,1.0,1400.54,0.0,0.0,0.0,0.0,0.0,0.0,326.08333775206876,448.9876695046448,6.5700936823052425,321.5251633440939,219.79382268069514,8.11917885421996,318.71758420341746,28.340930372727758,-4.598753589486152,1.1381124931269482,-1.4403108059377132
38419918,0.801000,0.000000,0.000000,1028.68,1028.96,1030.06,1031.0,0.0,0.0,1.0,1.0,1.0,1.0,1399.93,0.0,0.0,0.0,0.0,0.0,0.0,326.083918975045,448.9849965238919,6.5341270887601235,321.52907084960924,219.7908112023328,8.15129085585762,318.7178451257742,28.325105261541278,-4.651646752022467,1.1385071773612745,-1.4358203908983558
38420018,0.902000,0.000000,0.000000,1028.73,1028.87,1029.94,1031.02,0.0,0.0,1.0,1.0,1.0,1.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0810406210405,448.98702299085636,6.5618203932801995,321.5298856383369,219.8035015418428,8.162003338192815,318.7119573740634,28.339240116365776,-4.612590460756482,1.1376372181599506,-1.4320688216028543
