ezloophw-py logger started on:,2026-3-2_134618,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
49582550,0.000000,0.000000,0.000000,1037.32,1037.53,1038.89,1039.65,0.0,0.0,1.0,1.0,1.0,1.0,1385.66,649.7421209382820,672.7656871740520,0.44723755981843400,648.7649861878890,329.2882040431060,1.939357155664160,649.3405648164300,42.91022993861520,-1.1419700305986500,0.16299626302060900,-0.44114866502543900
49582650,0.100000,0.000000,0.000000,1037.22,1037.42,1038.9,1039.62,0.0,0.0,1.0,1.0,1.0,1.0,1386.79,649.7356248049350,672.7372369662370,0.438900324057538,648.7291593444510,329.2836070316230,1.9758808044392200,649.3169926322060,42.89765158191310,-1.1652053137374000,0.1679005636238090,-0.45340577407090100
49582751,0.200000,0.000000,0.000000,1037.23,1037.6,1038.94,1039.51,0.0,0.0,1.0,1.0,1.0,1.0,1387.56,649.7236972738100,672.7982081286280,0.4354321659373640,648.6685503128260,329.3517088362330,2.014890523838610,649.1270977394170,42.946457871117300,-1.0964899054924200,0.17602531267910500,-0.4437836145858460
49582852,0.300000,0.000000,0.000000,1037.25,1037.51,1038.85,1039.67,0.0,0.0,1.0,1.0,1.0,1.0,1388.4,649.7403669289420,672.8112536672040,0.4215218747672020,648.7486068109540,329.32855412285300,1.9241479574689700,649.3320413199440,42.94381277394590,-1.1195022780044800,0.165433400912497,-0.4475919059059310
49582953,0.401000,0.000000,0.000000,1037.16,1037.53,1038.92,1039.6,0.0,0.0,1.0,1.0,1.0,1.0,1389.02,649.7453249970310,672.7398962316010,0.46429915467829100,648.8660699731550,329.2375552054610,1.9108168357288500,649.4560871579480,42.86655312137510,-1.1382245858951300,0.14665836573313100,-0.4113644613302320
49583052,0.502000,0.000000,0.000000,1037.23,1037.57,1038.81,1039.62,0.0,0.0,1.0,1.0,1.0,1.0,1389.41,649.7503119215560,672.768580591973,0.41833287807987100,648.8011994948520,329.25626979051600,1.9669459603192000,649.6010048652500,42.96567374123540,-1.1121517257715300,0.15830581974912400,-0.47667750813345100
49583152,0.602000,0.000000,0.000000,1037.21,1037.56,1038.9,1039.8,0.0,0.0,1.0,1.0,1.0,1.0,1389.82,649.7503119215560,672.768580591973,0.41833287807987100,648.8011994948520,329.25626979051600,1.9669459603192000,649.6010048652500,42.96567374123540,-1.1121517257715300,0.15830581974912400,-0.47667750813345100
49583251,0.702000,0.000000,0.000000,1037.21,1037.54,1038.83,1039.64,0.0,0.0,1.0,1.0,1.0,1.0,1390.03,649.7527171815020,672.7441444069820,0.4534926365051200,648.7614097365500,329.2542810613720,2.1140054494510000,649.7261006724690,42.935854857757,-1.0804595609072400,0.16535444322923700,-0.5237544781878090
49583351,0.803000,0.000000,0.000000,1037.18,1037.51,1038.71,1039.63,0.0,0.0,1.0,1.0,1.0,1.0,1390.09,649.7386567129680,672.7764234091450,0.4325153959245720,648.8130325139510,329.2189110498440,2.0102225180874200,649.5439137920200,42.91773289855750,-1.1375480470192700,0.15436784173807800,-0.45500235921876700
