ezloophw-py logger started on:,2026-2-2_145852,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1030.,1030,1030,1030.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
53936158,0.000000,0.000000,0.000000,1028.75,1013.67,1031.33,1029.86,0.0,0.0,0.23,1.0,0.23,0.03,1354.83,634.1093944420790,666.0734672142,-0.21436948004959700,603.1945353464050,317.80597772877700,9.753476967316910,563.6107544320560,42.3992137527112,7.866725082959810,5.072711273518080,-1.966403697168860
53936259,0.099000,0.000000,0.000000,1029.06,1013.26,1031.25,1029.82,0.0,0.0,0.18,1.0,0.21,0.03,1355.41,634.090567972665,666.0730853364190,-0.22141713744642800,605.1921857723810,317.54652379426000,9.373453975905090,568.2017527872760,41.68844207192770,6.226640365201360,4.73988680039736,-1.8424108549962600
53936358,0.200000,0.000000,0.000000,1029.27,1013.13,1031.25,1029.88,0.0,0.0,0.14,1.0,0.21,0.02,1355.98,634.0982403030220,666.0581825311160,-0.22032055278791100,609.7862783213370,317.10746607709900,8.589780384461080,568.2017527872760,41.68844207192770,6.226640365201360,4.73988680039736,-1.8424108549962600
53936458,0.299000,0.000000,0.000000,1029.65,1013.34,1031.29,1029.74,0.0,0.0,0.08,1.0,0.22,0.05,1356.41,634.0919148226670,666.0575356843730,-0.19465902422651700,614.4394958261600,316.78588096873500,7.268011408374110,568.2017527872760,41.68844207192770,6.226640365201360,4.73988680039736,-1.8424108549962600
53936558,0.400000,0.000000,0.000000,1029.77,1013.51,1031.26,1029.72,0.0,0.0,0.05,1.0,0.22,0.05,1356.59,634.1039326747370,666.0637285341680,-0.23607850678868400,617.6696245366340,316.56416670150700,6.1231386703978900,598.4131434660640,38.54464792565740,2.4424701233648500,2.692201973591450,-1.4222511369602000
53936658,0.500000,0.000000,0.000000,1029.83,1014.1,1031.21,1029.78,0.0,0.0,0.04,1.0,0.21,0.04,1356.86,634.1049431435450,666.0596401849670,-0.2452166921821470,618.6008474758730,316.4836631605150,5.815979521260860,600.9685627576480,38.267913003146400,2.730271915709770,2.5394693663573800,-1.4525941965232600
53936759,0.600000,0.000000,0.000000,1029.62,1014.74,1031.14,1029.74,0.0,0.0,0.08,1.0,0.2,0.05,1356.91,634.0966541392020,666.0518106088800,-0.24384161034876900,616.5764486084040,316.5966891761900,6.499107135304290,597.073762815364,38.57176377073080,2.139545072716050,2.8701654663174700,-1.7277620350914400
53936865,0.700000,0.000000,0.000000,1029.52,1015.55,1031.03,1029.86,0.0,0.0,0.1,1.0,0.18,0.03,1356.54,634.0997753781670,666.0679235470230,-0.2137117223781470,612.6340013573720,316.8946036393910,7.470281192638930,597.073762815364,38.57176377073080,2.139545072716050,2.8701654663174700,-1.7277620350914400
53936958,0.802000,0.000000,0.000000,1029.67,1016.63,1031.2,1029.88,0.0,0.0,0.07,1.0,0.21,0.03,1355.87,634.0872303880450,666.0665083048180,-0.21788389007630900,608.4415227960530,317.22681185256400,8.60683480960243,597.073762815364,38.57176377073080,2.139545072716050,2.8701654663174700,-1.7277620350914400
