ezloophw-py logger started on:,2026-2-12_134424,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
49468348,0.000000,0.000000,0.000000,1015.14,1010.03,1018.83,1019.11,0.04,0.08,1.0,1.0,0.64,0.58,1011.22,637.1076492196850,681.38836305204,0.8097131479593470,620.1914512221220,340.95819349063300,6.111719403991420,600.4091241725650,58.43625187049290,3.2560158443418900,2.844724972466040,-1.684108283461530
49468448,0.100000,0.000000,0.000000,1015.11,1010.02,1018.72,1019.03,0.04,0.08,1.0,1.0,0.66,0.6,1011.27,637.0491211613550,681.5087529566270,0.5670300125744110,620.2795002562700,340.93196788786700,6.057937204404290,600.490274197402,58.41579252015540,3.2890081194193800,2.8189036139894900,-1.630991755550630
49468548,0.199000,0.000000,0.000000,1015.1,1010.0,1018.73,1018.94,0.04,0.08,1.0,1.0,0.66,0.62,1011.27,637.0272115656770,681.5087774680740,0.5947348743560450,620.0907375876850,340.9000887947540,6.131972997526990,600.2485834618290,58.402979062401700,3.27808506753598,2.8466387873801000,-1.6755103070922300
49468648,0.300000,0.000000,0.000000,1015.05,1009.96,1018.88,1018.87,0.04,0.08,1.0,1.0,0.63,0.63,1011.32,637.1071472924010,681.3770512113660,0.7968579340672610,619.9483931058630,340.89895786088300,6.170119297239050,600.2484745243820,58.418105894575300,3.182499490927100,2.885040714908320,-1.7807927753329400
49468748,0.400000,0.000000,0.000000,1015.19,1009.93,1018.89,1018.89,0.04,0.08,1.0,1.0,0.63,0.63,1011.37,637.0906881718230,681.390050748979,0.839969503760041,619.9189725993330,340.9345338590750,6.142628405708950,600.0102183983900,58.424762865341100,3.268208691380020,2.8874074665922500,-1.743786510948660
49468848,0.500000,0.000000,0.000000,1015.23,1009.86,1018.71,1019.03,0.04,0.08,1.0,1.0,0.67,0.6,1011.26,637.0274552010860,681.4981212538680,0.5983415179080270,619.9236151815360,340.9163686375010,6.165827059083180,599.8872130933780,58.455666852536000,3.341304302724260,2.874949259151820,-1.6924081947599500
49468948,0.601000,0.000000,0.000000,1015.13,1009.86,1018.73,1018.93,0.04,0.08,1.0,1.0,0.66,0.62,1011.31,637.0916230079760,681.3793004924410,0.8087323670257770,620.034058805375,340.9313017367530,6.162502004339160,599.9428749821040,58.42187110838670,3.2548158033327100,2.868308416207350,-1.6687694964878300
49469048,0.701000,0.000000,0.000000,1015.04,1009.95,1018.79,1019.05,0.04,0.08,1.0,1.0,0.65,0.6,1011.27,637.0632941280370,681.3630072644640,0.8377513037489870,620.1601771865210,340.8878230216540,6.142149768045230,600.0444265545010,58.43037470345870,3.305558030491650,2.8421535978380400,-1.6107555451505700
49469148,0.800000,0.000000,0.000000,1015.14,1010.02,1018.9,1019.02,0.04,0.08,1.0,1.0,0.63,0.61,1011.24,637.0851062058930,681.4336267519840,0.7287205587383410,620.1293026152590,340.9227182192350,6.074108128193420,600.3383006168760,58.411416281747000,3.248712459743390,2.8506993202187100,-1.694155856634740
49469248,0.901000,0.000000,0.000000,1015.07,1010.04,1018.78,1018.9,0.04,0.08,1.0,1.0,0.66,0.63,1011.22,637.10858754277,681.3716169849250,0.8111035408375000,620.2250355664790,340.9090692718580,6.088090749947810,600.550938847505,58.4023633544858,3.284956883379570,2.8389744500930300,-1.6942358288034500
49469348,0.999000,0.000000,0.000000,1015.17,1009.95,1018.78,1018.94,0.04,0.08,1.0,1.0,0.66,0.62,1011.22,637.0223887558070,681.5071351734280,0.6125355946605180,620.208568657544,340.9178897421780,6.118454501801900,600.5858444798190,58.39005542140620,3.269904155264400,2.826218051369020,-1.6793880368193400
49469448,1.100000,0.000000,0.000000,1015.19,1009.86,1018.84,1018.86,0.04,0.08,1.0,1.0,0.65,0.64,1011.28,637.0462770537510,681.4463942218240,0.7328620477155380,620.109887854009,340.8958512622250,6.172951952729530,600.5017242009630,58.419044015995200,3.3323637143429500,2.847109795512990,-1.7233953165731100
49469548,1.200000,0.000000,0.000000,1015.07,1009.87,1018.79,1018.93,0.04,0.08,1.0,1.0,0.66,0.63,1011.22,637.0632671613490,681.3803728987260,0.8267496258346490,620.1577687850830,340.86497059964600,6.154205431944430,600.2804098476320,58.38925358522310,3.261447185428020,2.842218182915830,-1.6592601949120300
49469649,1.300000,0.000000,0.000000,1015.23,1009.96,1018.8,1019.03,0.0,0.0,1.0,1.0,0.65,0.61,1011.28,637.0266315889360,681.5214950046520,0.5940609110876390,620.0262569195300,340.9235627438000,6.128193512468230,600.1695091715920,58.44883180469580,3.304732565695730,2.857451373659870,-1.6938726648590700
49469749,1.400000,0.000000,0.000000,1015.27,1009.91,1018.68,1018.95,-0.01,0.0,1.0,1.0,0.68,0.62,1011.3,637.0630617303820,681.3676342911790,0.8349179452035960,619.9840141127500,340.9317344855890,6.121633090763790,599.9947898530180,58.435080711552400,3.26942984028661,2.8720168036655300,-1.6965787299637900
49469850,1.500000,0.000000,0.000000,1015.18,1009.97,1018.76,1019.09,-0.01,0.0,1.0,1.0,0.67,0.6,1011.28,637.0479119456130,681.4251594433700,0.7351644746557610,620.0232196179240,340.9056430102690,6.134815474006240,600.0375963885440,58.4268688045629,3.246858197525690,2.86218980406098,-1.677396163680020
49469950,1.600000,0.000000,0.000000,1015.21,1009.94,1018.86,1018.94,-0.02,0.0,1.0,1.0,0.65,0.63,1011.4,637.0143184423980,681.5153551021440,0.5979059583591730,620.0208915487560,340.9052514625000,6.141550451985530,600.1548936019230,58.44361765676520,3.2815110453412700,2.8561836164793700,-1.6892841955201300
49470050,1.701000,0.000000,0.000000,1015.11,1009.91,1018.81,1018.87,-0.03,0.0,1.0,1.0,0.66,0.64,1011.29,637.0556543938840,681.5034563983890,0.5865042760099220,620.1235010249640,340.9053768285400,6.056443810653240,600.1660620049210,58.43702891259040,3.2597843213609500,2.8460022846408400,-1.6505606800832900
49470150,1.801000,0.000000,0.000000,1015.23,1009.89,1018.75,1018.8,-0.03,0.0,1.0,1.0,0.67,0.66,1011.23,637.0266243300610,681.4949363475510,0.582531401193342,620.2127338205440,340.90645365011400,6.1425702544637100,600.4430093908740,58.404627168972100,3.3221803039417100,2.8262361864999200,-1.6493899887462600
