ezloophw-py logger started on:,2026-1-29_110246
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1030., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
39769483,0.000000,0.000000,0.000000,1015.52,1015.54,1017.0,1018.0,0.0,0.0,0.94,0.94,1.0,1.0,1016.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39769582,0.000000,0.000000,0.000000,1015.65,1015.47,1016.99,1018.01,0.0,0.0,0.97,0.93,1.0,1.0,1016.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39769683,0.099000,0.000000,0.000000,1015.66,1015.53,1017.01,1018.04,0.0,0.0,1.0,1.0,1.0,1.0,1016.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39769782,0.200000,0.000000,0.000000,1015.69,1015.49,1016.96,1017.92,0.0,0.0,1.0,1.0,1.0,1.0,1016.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39769883,0.299000,0.000000,0.000000,1015.7,1015.54,1016.88,1018.06,0.0,0.0,1.0,1.0,1.0,1.0,1016.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39769982,0.400000,0.000000,0.000000,1015.66,1015.5,1017.01,1017.95,0.0,0.0,1.0,1.0,1.0,1.0,1016.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39770083,0.499000,0.000000,0.000000,1015.62,1015.51,1016.94,1018.05,0.0,0.0,1.0,1.0,1.0,1.0,1016.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39770182,0.600000,0.000000,0.000000,1015.57,1015.48,1017.01,1018.0,0.0,0.0,1.0,1.0,1.0,1.0,1016.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39770282,0.700000,0.000000,0.000000,1015.51,1015.52,1016.99,1018.03,0.0,0.0,1.0,1.0,1.0,1.0,1016.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39770382,0.799000,0.000000,0.000000,1015.59,1015.5,1017.05,1017.87,0.0,0.0,1.0,1.0,1.0,1.0,1016.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39770482,0.899000,0.000000,0.000000,1015.52,1015.5,1017.05,1018.0,0.0,0.0,1.0,1.0,1.0,1.0,1016.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39770582,0.999000,0.000000,0.000000,1015.67,1015.5,1017.0,1017.98,0.0,0.0,1.0,1.0,1.0,1.0,1016.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39770682,1.099000,0.000000,0.000000,1015.67,1015.44,1016.91,1017.93,0.0,0.0,1.0,1.0,1.0,1.0,1016.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39770782,1.199000,0.000000,0.000000,1015.71,1015.45,1017.03,1017.99,0.0,0.0,1.0,1.0,1.0,1.0,1016.2,634.1237022064455,666.0683517755723,-0.24349169399775894,617.8469815598211,316.79321636618664,5.711139067093972,600.916290998832,38.2906806832108,2.1642024691120643,2.668134897885069,-1.857433396437786
39770883,1.300000,0.000000,0.000000,1015.63,1015.53,1016.93,1018.04,0.0,0.0,1.0,1.0,1.0,1.0,1016.17,634.1237022064455,666.0683517755723,-0.24349169399775894,617.8469815598211,316.79321636618664,5.711139067093972,600.916290998832,38.2906806832108,2.1642024691120643,2.668134897885069,-1.857433396437786
