ezloophw-py logger started on:,2026-2-18_110902
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
40145505,0.000000,0.000000,0.000000,1011.97,1012.26,1013.59,1014.34,0.0,0.0,1.0,1.0,1.0,1.0,1369.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40145604,0.000000,0.000000,0.000000,1022.77,1024.07,1026.15,1028.45,0.0,0.0,0.47,0.69,1.0,1.0,1367.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40145705,0.099000,0.000000,0.000000,1025.55,1025.02,1025.69,1026.09,0.0,0.0,0.94,0.85,1.0,1.0,1369.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40145804,0.199000,0.000000,0.000000,1022.72,1022.35,1022.84,1023.4,0.0,0.0,0.12,0.06,0.17,0.28,1371.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40145904,0.299000,0.000000,0.000000,1022.07,1021.94,1022.45,1023.29,0.0,0.0,0.01,0.01,0.09,0.26,1372.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40146005,0.399000,0.000000,0.000000,1022.16,1021.83,1022.6,1023.33,0.0,0.0,0.03,0.03,0.12,0.27,1373.84,645.6490151150813,672.6766998789282,0.6624311323330958,649.1536986623751,328.7980483440743,-1.1801672769210214,666.7325445175157,45.496479002097,-5.578573637028354,-0.5839170965800292,-2.382813357837695
40146104,0.501000,0.000000,0.000000,1022.03,1021.89,1022.57,1023.39,0.0,0.0,0.01,0.02,0.11,0.28,1375.55,645.6490151150813,672.6766998789282,0.6624311323330958,649.1536986623751,328.7980483440743,-1.1801672769210214,666.7325445175157,45.496479002097,-5.578573637028354,-0.5839170965800292,-2.382813357837695
40146205,0.598000,0.000000,0.000000,1022.14,1021.88,1022.51,1023.33,0.0,0.0,0.02,0.02,0.1,0.27,1377.24,645.6519737619651,672.7075437627816,0.6756746121802263,649.0212304056658,328.78777156389333,-1.0989751071021887,666.1937067715645,45.30183541271726,-5.379652972871227,-0.5612879107143652,-2.3439438955572536
40146305,0.701000,0.000000,0.000000,1022.14,1021.72,1022.65,1023.2,0.0,0.0,0.02,0.05,0.13,0.24,1378.84,645.6540638266043,672.6895496507448,0.7190288834798079,649.1083569447895,328.80531583421674,-1.1946263624022329,666.5263453929168,45.382942502415084,-5.604846621012723,-0.575512748722812,-2.3657175733066307
40146404,0.800000,0.000000,0.000000,1022.11,1021.78,1022.53,1023.23,0.0,0.0,0.02,0.04,0.11,0.25,1380.47,645.6499952195597,672.6826207769893,0.6874144749954447,649.3771993746271,328.7819390485089,-1.2344721674065973,666.9651978110965,45.402603674578074,-5.594372300036853,-0.6209487735596517,-2.3096215541953584
40146504,0.899000,0.000000,0.000000,1022.09,1021.73,1022.48,1023.27,0.0,0.0,0.02,0.05,0.1,0.25,1382.03,645.6559338083957,672.7014869746953,0.6617271959903734,649.6038180888044,328.72792675476404,-1.2039457799014608,667.5323457045954,45.44261602289336,-5.716966087649893,-0.6575714009405175,-2.306156080665688
40146604,1.001000,0.000000,0.000000,1021.98,1021.73,1022.45,1023.22,0.0,0.0,0.0,0.05,0.09,0.24,1382.48,645.653136283313,672.6900741096048,0.6843969211246002,649.76437705031,328.7736166984885,-1.3244953845798375,667.7975327509532,45.49130610548654,-5.8250529390726715,-0.6848916934504289,-2.2726305736189714
40146704,1.100000,0.000000,0.000000,1022.05,1021.78,1022.51,1023.34,0.0,0.0,0.01,0.04,0.1,0.27,1383.45,645.6596223934459,672.6999639625235,0.6883375981895623,649.6816929233288,328.7038605995621,-1.253870224284695,667.741349822849,45.464075293333835,-5.816000087672734,-0.6698830700905656,-2.308532394078024
40146804,1.200000,0.000000,0.000000,1022.06,1021.82,1022.58,1023.3,0.0,0.0,0.01,0.03,0.12,0.26,1384.8,645.6598393717849,672.6832095433459,0.6828246648704428,649.4956502590735,328.71363715387434,-1.2246433724769414,667.3975737534748,45.384351407144194,-5.728665116950679,-0.6389130983320147,-2.3375535775883813
40146904,1.300000,0.000000,0.000000,1022.03,1021.91,1022.63,1023.36,0.0,0.0,0.01,0.02,0.13,0.27,1385.99,645.6497314043928,672.697228576916,0.656471784156968,649.2382344945727,328.80753098751006,-1.2313976573683485,666.8762415728834,45.475321988750075,-5.61828570926593,-0.5978621079513892,-2.3664579725691866
40147004,1.400000,0.000000,0.000000,1022.03,1021.92,1022.6,1023.28,0.0,0.0,0.01,0.01,0.12,0.26,1385.99,645.6484089482332,672.6732012146816,0.7116582181555601,649.0860262287199,328.769227337746,-1.1490842012903122,666.389066085336,45.34830344698518,-5.470191932232126,-0.572701734122675,-2.3482066383688545
40147104,1.500000,0.000000,0.000000,1022.04,1021.85,1022.52,1023.21,0.0,0.0,0.01,0.03,0.1,0.24,1386.89,645.2977695146835,672.5868622878019,0.4998667790313443,648.6986770228394,328.61447833406794,-1.017534809553043,666.0697619639392,45.35879441649484,-5.57103955399159,-0.5664736668004346,-2.3764082584324844
40147204,1.599000,0.000000,0.000000,1022.02,1021.82,1022.52,1023.17,0.0,-0.0,0.0,0.03,0.1,0.23,1387.46,645.0822209014817,672.5048358142257,0.6994737371811697,648.5130145463347,327.4628891379621,-1.2262286906375766,665.7478611277611,43.127968226235744,-5.6017545102585,-0.5696800649938873,-2.329356425508366
40147305,1.700000,0.000000,0.000000,1022.0,1021.86,1022.61,1023.31,0.0,-0.0,0.0,0.02,0.12,0.26,1388.24,645.0105955163737,672.4847266332432,0.6478796292901303,648.6948420944266,327.43979213023994,-1.2300897285423564,666.1023682113658,43.28226616012861,-5.687234298060919,-0.6117573011521665,-2.2820512718267727
40147404,1.801000,0.000000,0.000000,1021.99,1021.86,1022.53,1023.25,0.0,-0.0,0.0,0.02,0.11,0.25,1388.55,645.0937055281277,673.7970924139968,0.8504198335195228,648.8779093575203,327.1470040518629,-1.345972875111272,666.6992966596449,41.84057318837954,-6.161630762069811,-0.6254442256810558,-2.3233925780353584
40147505,1.900000,0.000000,0.000000,1022.04,1021.86,1022.59,1023.42,0.0,-0.0,0.01,0.02,0.12,0.28,1387.82,645.1012638120816,673.7656312869518,0.9039441343517478,648.9856540856183,327.19065239065833,-1.4582046783928524,667.0177745060992,42.167833560684464,-6.153516750410604,-0.6421405576730379,-2.335742284414987
40147605,2.001000,0.000000,0.000000,1021.99,1021.79,1022.57,1023.31,0.0,-0.0,0.0,0.04,0.11,0.26,1387.92,644.9288188112143,674.5199877456207,0.9149370869227545,648.9856540856183,327.19065239065833,-1.4582046783928524,667.0177745060992,42.167833560684464,-6.153516750410604,-0.6421405576730379,-2.335742284414987
40147706,2.102000,0.000000,0.000000,1021.92,1021.94,1022.6,1023.38,0.0,-0.01,0.01,0.01,0.12,0.28,1387.18,644.9603721292076,674.538489497793,0.9025388424297623,648.9856540856183,327.19065239065833,-1.4582046783928524,667.0177745060992,42.167833560684464,-6.153516750410604,-0.6421405576730379,-2.335742284414987
40147806,2.201000,0.000000,0.000000,1021.99,1021.8,1022.51,1023.24,0.0,-0.01,0.0,0.03,0.1,0.25,1387.7,644.9541445751868,674.5434103587601,0.9542600062892316,648.9856540856183,327.19065239065833,-1.4582046783928524,667.0177745060992,42.167833560684464,-6.153516750410604,-0.6421405576730379,-2.335742284414987
40147905,2.301000,0.000000,0.000000,1021.93,1021.77,1022.55,1023.24,0.0,-0.01,0.01,0.04,0.11,0.25,1388.26,645.0571782290734,673.4423967816994,0.819115937591347,648.7054658290656,327.27913594097066,-1.252279438867337,666.1391765323691,42.20151732940676,-6.048687417048049,-0.6038299458738909,-2.291862870757471
40148005,2.401000,0.000000,0.000000,1022.0,1021.83,1022.39,1023.26,0.0,-0.01,0.0,0.03,0.08,0.25,1388.62,645.0160630496861,673.2213489968975,0.538980254179364,648.5141639421176,327.4014808780406,-1.1816891030918004,665.8077240597473,42.461860950798034,-5.962013387009728,-0.5795490670135265,-2.314037986599981
40148105,2.501000,0.000000,0.000000,1021.97,1021.86,1022.53,1023.29,0.0,-0.01,0.0,0.02,0.11,0.26,1388.74,645.0756983578206,672.7821597200859,0.5858899307452827,648.5149274909888,327.4385934970628,-1.2500602802581284,665.7324311110812,42.89117241421651,-5.74364303207983,-0.5705819342124705,-2.3214891806019926
40148205,2.601000,0.000000,0.000000,1022.0,1021.78,1022.62,1023.32,0.0,-0.01,0.0,0.04,0.12,0.26,1387.83,645.0262030776423,672.4834370319995,0.6492666940780325,648.5815463411112,327.4480470361703,-1.2093504226687959,665.9213672425025,43.18435786908562,-5.717741362131416,-0.590371191933908,-2.3099217594961665
40148305,2.701000,0.000000,0.000000,1021.98,1021.87,1022.54,1023.41,0.01,-0.01,0.0,0.02,0.11,0.28,1387.99,645.080527135683,672.1468648680317,0.5869227621776227,648.7674034622047,327.507529916465,-1.085132949469042,666.2903271110032,43.61733605213143,-5.629799412710213,-0.6129143538004111,-2.30623216841191
40148405,2.801000,0.000000,0.000000,1021.94,1021.91,1022.51,1023.39,0.0,-0.01,0.01,0.01,0.1,0.28,1387.16,645.0941081154688,672.0810456033638,0.5436016972050538,648.9878424837611,327.60649908306664,-1.3864715792931843,666.6636767004009,43.896779544640616,-5.521729745397117,-0.6476096636561756,-2.269844917629113
40148505,2.901000,0.000000,0.000000,1021.98,1021.81,1022.62,1023.35,0.0,-0.01,0.0,0.03,0.12,0.27,1387.75,645.2274742904933,672.2980705342015,0.6465987222686724,649.1880436877962,328.02880713485797,-1.360251316297941,667.0297190220695,44.402389828288435,-5.682650028417119,-0.659117513081415,-2.2812445642257844
40148605,3.000000,0.000000,0.000000,1022.03,1021.81,1022.43,1023.27,0.0,-0.01,0.0,0.03,0.09,0.25,1388.27,645.2018981912598,672.5566482079578,0.5572543657021296,649.1624621685601,328.35029823903665,-1.3052097608212232,667.1048700833846,44.843316400411204,-5.726552059996143,-0.6592370727069056,-2.302794785931259
40148706,3.100000,0.000000,0.000000,1022.06,1021.91,1022.53,1023.19,-0.0,-0.01,0.01,0.02,0.11,0.24,1388.45,645.2522797858339,672.6961115509021,0.5307964499073899,649.0418417368707,328.5712391155326,-1.2842343484246639,666.9187065163597,45.15132205020323,-5.7273773469902185,-0.6309254204676158,-2.347330148534501
40148805,3.201000,0.000000,0.000000,1022.03,1021.79,1022.59,1023.28,-0.0,-0.01,0.01,0.03,0.12,0.26,1388.89,645.6365763299862,672.6893658878928,0.707417375815746,649.2128281495288,328.80041308671827,-1.2294745540251988,666.7315256325704,45.35433767757452,-5.600151644213583,-0.5958224242664308,-2.3450851807683497
40148905,3.300000,0.000000,0.000000,1022.05,1021.89,1022.55,1023.45,-0.0,-0.0,0.01,0.02,0.11,0.29,1389.16,645.6358877051742,672.6787712331525,0.678077793408126,649.0811759037321,328.8046823121725,-1.1998096330333061,666.4810631435769,45.355866928716836,-5.510566461206117,-0.5740294911566461,-2.3647116539115602
40149005,3.400000,0.000000,0.000000,1022.0,1021.91,1022.55,1023.39,-0.0,-0.0,0.0,0.02,0.11,0.28,1389.68,645.6390855921711,672.6819374751013,0.6871633538629053,649.0147144392831,328.7995956952546,-1.1823097969646237,666.2546604631808,45.36184371464482,-5.498923238374783,-0.5624106003712017,-2.355875022673581
40149105,3.501000,0.000000,0.000000,1022.1,1021.79,1022.45,1023.41,-0.01,-0.0,0.02,0.04,0.09,0.28,1389.89,645.6457689492161,672.6877845647575,0.6831913806417504,649.0530315993727,328.8133735854957,-1.1893680611791073,666.2740190575186,45.36110148572845,-5.4487598780086515,-0.5676938292053914,-2.341312609742614
40149205,3.600000,0.000000,0.000000,1021.9,1021.83,1022.56,1023.27,-0.01,-0.0,0.02,0.03,0.11,0.25,1390.13,645.64525388209,672.6805099158428,0.6831425874766451,649.1773074283568,328.8170471533143,-1.189804240595021,666.5970612962258,45.37757696914585,-5.5564969797429224,-0.5885028982364824,-2.3398812068033386
40149306,3.701000,0.000000,0.000000,1022.01,1021.85,1022.51,1023.15,-0.01,-0.0,0.0,0.03,0.1,0.23,1389.06,645.6516861565743,672.6890211601443,0.6798849449172866,649.3157359175211,328.8128439157529,-1.2658973225368562,666.9613594065984,45.350650121845405,-5.6217904660908875,-0.6104716083629615,-2.341143249305471
40149406,3.802000,0.000000,0.000000,1022.03,1021.79,1022.55,1023.27,-0.01,-0.0,0.01,0.04,0.11,0.25,1389.03,645.6479165103152,672.6785559974405,0.6818577464626789,649.4560294526636,328.7054853007702,-1.218804232561896,667.2587885754745,45.434428403698064,-5.773535375440507,-0.634293508872556,-2.327555839484676
40149506,3.903000,0.000000,0.000000,1022.07,1021.78,1022.45,1023.25,-0.01,-0.0,0.01,0.04,0.09,0.25,1389.3,645.6454839758889,672.6900011914355,0.6853691162491551,649.519018826304,328.7177475740917,-1.210755258130413,667.3633671259419,45.423096569066956,-5.733045747613938,-0.6451910452210683,-2.3138402137131013
40149606,4.002000,0.000000,0.000000,1022.03,1021.92,1022.51,1023.32,-0.01,-0.0,0.01,0.01,0.1,0.26,1389.55,645.6651495391357,672.6827119829438,0.6717193311819671,649.4358725657355,328.79196202445695,-1.3105323956144328,667.2990861236847,45.40232488161951,-5.705123633443605,-0.628216541022141,-2.3503834498645073
