ezloophw-py logger started on:,2026-2-17_132336
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
48220104,0.000000,0.000000,0.000000,1018.71,1018.96,1020.26,1020.96,0.0,0.0,0.22,0.18,0.05,0.19,1389.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48220203,0.000000,0.000000,0.000000,1018.71,1018.9,1020.32,1020.98,0.0,0.0,0.22,0.19,0.06,0.2,1389.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48220303,0.100000,0.000000,0.000000,1018.65,1018.98,1020.32,1021.04,0.0,0.0,0.57,0.51,0.34,0.19,1386.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48220403,0.200000,0.000000,0.000000,1026.04,1026.79,1020.38,1021.02,0.0,0.0,0.69,0.82,0.32,0.2,1385.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48220503,0.300000,0.000000,0.000000,1027.89,1027.61,1020.25,1021.02,0.0,0.0,1.0,0.95,0.35,0.2,1386.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48220604,0.400000,0.000000,0.000000,1025.54,1025.3,1020.39,1021.07,0.0,0.0,0.6,0.56,0.32,0.19,1387.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48220704,0.500000,0.000000,0.000000,1023.92,1023.87,1020.43,1021.03,0.0,0.0,0.33,0.32,0.31,0.19,1388.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48220805,0.601000,0.000000,0.000000,1023.65,1023.61,1020.53,1021.18,0.0,0.0,0.28,0.27,0.29,0.16,1388.83,645.886500549677,673.3510497998761,0.521590944878156,643.5006985946577,329.4584057485795,1.1215787507850368,649.5575465381944,45.581477616560925,-3.0248077059694234,0.3974908800837407,-2.017269111724373
48220905,0.704000,0.000000,0.000000,1023.66,1023.73,1020.47,1021.21,0.0,0.0,0.28,0.29,0.31,0.16,1389.41,645.913501973183,673.3548082333314,0.6112054222864406,643.3619099787096,329.4824660857567,1.1396329807408738,649.1074053650884,45.51534600033369,-2.7720591893242266,0.4251367480598904,-2.009378560677121
48221006,0.803000,0.000000,0.000000,1023.7,1023.67,1020.43,1021.13,0.0,0.0,0.29,0.28,0.31,0.17,1389.92,645.8966592535261,673.3338795105013,0.5291806537480782,643.2499726734895,329.4601311736652,1.189470542712266,648.8923046582884,45.59418691171986,-2.8313898252361627,0.4409786358002502,-2.0206611258389735
48221105,0.904000,0.000000,0.000000,1023.59,1023.58,1020.36,1021.15,0.0,0.0,0.27,0.27,0.33,0.17,1390.08,645.9080907335477,673.3164061918837,0.6078482694287572,643.2613507203032,329.4603279188738,1.1924580385886372,648.8600354587364,45.63938852539085,-2.77291090527539,0.44101019879860914,-2.012097020329917
48221205,1.003000,0.000000,0.000000,1023.58,1023.51,1020.47,1021.06,0.0,0.0,0.27,0.26,0.31,0.19,1390.37,645.9231034157098,673.3148999502665,0.605116108910855,643.3700047739753,329.48061385739175,1.1236043469172146,649.063605569493,45.46041228896481,-2.738611875395398,0.4254348515658106,-1.9992936754638968
48221306,1.103000,0.000000,0.000000,1023.69,1023.6,1020.32,1020.98,0.0,0.0,0.29,0.27,0.34,0.2,1390.69,645.9181311735832,673.3312911036579,0.6201782548312547,643.4986969647726,329.4851420579334,1.106904042183451,649.4401797652473,45.61379784402629,-2.981695817970802,0.4031485641058645,-2.005333940578959
48221405,1.203000,0.000000,0.000000,1023.63,1023.55,1020.51,1021.08,0.0,0.0,0.28,0.26,0.3,0.18,1390.89,645.9233157848681,673.3263928993886,0.6204141340074701,643.7256054242384,329.5984437474492,1.0186591881752582,649.8846096132319,45.56416844498052,-2.9472815946354154,0.3663298627425182,-1.9748677400624624
48221505,1.303000,0.000000,0.000000,1023.63,1023.61,1020.37,1021.13,0.0,0.0,0.28,0.27,0.33,0.17,1390.81,645.9231228058212,673.3358241190608,0.6173464052878143,643.7809006412382,329.5598731545073,1.0263982998270291,649.9979899469437,45.60744432328655,-3.003988097578069,0.35703108316688,-1.9683429451129895
48221605,1.403000,0.000000,0.000000,1023.62,1023.6,1020.42,1021.12,0.0,0.0,0.28,0.27,0.32,0.18,1390.86,645.9234753252449,673.3259223407553,0.605861863057642,643.7619040304273,329.5915604593954,1.0097607552920196,650.024063247126,45.490357995733284,-2.824617862263418,0.36029938679762363,-1.983307979676218
