ezloophw-py logger started on:,2026-2-17_164930
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
60573624,0.000000,0.000000,0.000000,1018.38,1018.71,1019.9,1020.86,0.0,0.0,0.27,0.22,0.02,0.17,1380.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60573724,0.000000,0.000000,0.000000,1018.36,1018.77,1019.99,1020.81,0.0,0.0,0.28,0.21,0.0,0.16,1382.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60573823,0.100000,0.000000,0.000000,1018.43,1018.74,1019.94,1020.74,0.0,0.0,0.27,0.21,0.01,0.15,1383.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60573923,0.199000,0.000000,0.000000,1018.5,1018.65,1019.94,1020.73,0.0,0.0,0.26,0.23,0.01,0.15,1385.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60574023,0.299000,0.000000,0.000000,1018.39,1018.69,1019.92,1020.74,0.0,0.0,0.27,0.22,0.02,0.15,1386.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60574123,0.400000,0.000000,0.000000,1018.4,1018.7,1019.93,1020.71,0.0,0.0,0.61,0.56,0.41,0.26,1385.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60574224,0.499000,0.000000,0.000000,1026.36,1027.35,1021.28,1021.28,0.0,0.0,0.74,0.91,0.14,0.14,1384.46,645.6774549825196,672.712516162419,0.6620665130006889,646.4398053754733,328.90570704141226,-0.1867353829526175,658.1311636583858,44.93866878512896,-4.115905353769816,-0.1270463157809827,-2.1035309142625938
60574324,0.606000,0.000000,0.000000,1028.31,1028.06,1021.42,1021.34,0.0,0.0,1.0,1.0,0.12,0.13,1385.53,645.6774549825196,672.712516162419,0.6620665130006889,646.4398053754733,328.90570704141226,-0.1867353829526175,658.1311636583858,44.93866878512896,-4.115905353769816,-0.1270463157809827,-2.1035309142625938
60574425,0.705000,0.000000,0.000000,1025.77,1025.66,1021.44,1021.37,0.0,0.0,0.64,0.62,0.11,0.13,1386.58,645.6865796893803,672.7081204160422,0.6658494590629185,646.5657838685678,328.80951274791283,-0.16620721104819966,657.7050400108066,44.91702008220745,-3.7817875368446683,-0.14648090432347233,-1.954033600692143
60574525,0.803000,0.000000,0.000000,1023.99,1023.98,1021.29,1021.27,0.0,0.0,0.34,0.34,0.14,0.15,1387.53,645.7328064339274,672.7855766863214,0.6207488710138266,646.1603265182831,328.8304133493442,-0.08394518536069911,656.907765246154,44.7909613215305,-3.6890307469765946,-0.07121592139686155,-2.0244828408953213
60574626,0.904000,0.000000,0.000000,1023.67,1023.73,1021.31,1021.25,0.0,0.0,0.28,0.29,0.14,0.15,1388.14,645.6932334514886,672.7059802442982,0.664012562278951,645.8530358447408,328.74187926203473,-0.0325927986661773,656.5639890285806,44.96949115132179,-3.9663189645965398,-0.026619062874697338,-2.108357748407766
60574725,1.005000,0.000000,0.000000,1023.61,1023.75,1021.21,1021.19,0.0,0.0,0.27,0.3,0.16,0.16,1388.8,645.6834522811032,672.7163392865067,0.673288151612901,645.6562745019183,328.811182530731,0.015337186628788468,656.2664208586218,44.829386081974846,-3.65212520063311,0.004527911286002565,-2.1487492187485273
60574825,1.103000,0.000000,0.000000,1023.65,1023.74,1021.33,1021.22,0.0,0.0,0.28,0.3,0.13,0.16,1389.32,645.6927879992064,672.7163318350315,0.6755531408684349,645.6543391401194,328.7211439874788,-0.04646201986539174,656.1347742463333,44.915015120019916,-3.7216811959170255,0.006404035351159398,-2.127674182275579
60574925,1.203000,0.000000,0.000000,1023.67,1023.69,1021.26,1021.34,0.0,0.0,0.28,0.29,0.15,0.13,1389.7,645.6842863922966,672.7186188801315,0.6723187277995556,645.9057147061243,328.81236306461324,-0.04110676329744417,656.5145160507942,44.81790607414995,-3.773163444948771,-0.03689059410618668,-2.0655459310590425
60575025,1.302000,0.000000,0.000000,1023.78,1023.65,1021.28,1021.38,0.0,0.0,0.3,0.28,0.14,0.12,1389.91,645.6972981299187,672.703430268011,0.6837642040162794,646.1331729232745,328.8119486467634,-0.15362364367992187,656.9987490491875,44.96201032476378,-3.782762940957452,-0.07262108547800519,-2.0469296815327516
60575125,1.403000,0.000000,0.000000,1023.76,1023.62,1021.32,1021.26,0.0,0.0,0.3,0.28,0.14,0.15,1390.19,645.6885933032737,672.7247190360854,0.6762664579410453,646.4064573161946,328.83443722475783,-0.27576421144505187,657.4747534021931,44.897697941451625,-3.818278613411055,-0.11960360800269965,-1.993141186014376
60575225,1.502000,0.000000,0.000000,1023.72,1023.72,1021.29,1021.36,0.0,0.0,0.29,0.29,0.14,0.13,1390.19,645.6916193905511,672.6963625636205,0.6422714913247217,646.4500216477041,328.8300645501232,-0.30814789491290323,657.6216570961094,44.94821454649974,-3.922080551463861,-0.12636649274095801,-2.0008716055899125
