ezloophw-py logger started on:,2026-3-23_091015
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
33018271,0.000000,0.000000,0.000000,1010.52,1010.9,1012.01,1012.93,0.0,0.0,1.0,1.0,1.0,1.0,1404.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33018370,0.001000,0.000000,0.000000,1010.5,1010.72,1011.96,1012.85,0.0,0.0,1.0,1.0,1.0,1.0,1403.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33018470,0.100000,0.000000,0.000000,1010.38,1010.78,1012.02,1012.8,0.0,0.0,1.0,1.0,1.0,1.0,1403.21,0.0,0.0,0.0,0.0,0.0,0.0,326.2624369075941,449.08895797142844,6.672250974683321,324.31832740895413,219.2360214741471,7.33311353233564,324.7033866782113,29.45441470938804,-5.68468530255411,0.48459947816428556,-1.0854496356887964
33018571,0.200000,0.000000,0.000000,1010.5,1010.75,1011.99,1012.85,0.0,0.0,1.0,1.0,1.0,1.0,1402.47,0.0,0.0,0.0,0.0,0.0,0.0,326.2624369075941,449.08895797142844,6.672250974683321,324.31832740895413,219.2360214741471,7.33311353233564,324.7033866782113,29.45441470938804,-5.68468530255411,0.48459947816428556,-1.0854496356887964
33018670,0.302000,0.000000,0.000000,1010.51,1010.8,1011.96,1012.9,0.0,0.0,1.0,1.0,1.0,1.0,1401.99,0.0,0.0,0.0,0.0,0.0,0.0,326.26257281138203,449.0836465472038,6.639832974641457,324.312185893248,219.23760909555585,7.346006783431967,324.6626360962248,29.476662789802035,-5.63855455246991,0.48617873943217493,-1.0781711097672573
33018770,0.404000,0.000000,0.000000,1010.43,1010.88,1012.16,1012.91,0.0,0.0,1.0,1.0,1.0,1.0,1401.39,0.0,0.0,0.0,0.0,0.0,0.0,326.28602137983415,449.10111004324904,6.681840131878271,324.3085183437088,219.23811381237576,7.366847633343315,324.61757158241056,29.459044167692483,-5.755296417206596,0.49290135739276536,-1.0791082126066784
33018870,0.502000,0.000000,0.000000,1010.44,1010.84,1012.07,1012.93,0.0,0.0,1.0,1.0,1.0,1.0,1400.85,0.0,0.0,0.0,0.0,0.0,0.0,326.2502571058624,449.0825757205964,6.673694435694719,324.2967006689192,219.23554226979567,7.359775402171426,324.62651971398776,29.4559588103033,-5.703366092551797,0.4869666666953766,-1.0735079025609755
33018970,0.605000,0.000000,0.000000,1010.47,1010.86,1012.0,1012.83,0.0,0.0,1.0,1.0,1.0,1.0,1400.21,0.0,0.0,0.0,0.0,0.0,0.0,326.2542792499994,449.0834327075959,6.724268992139939,324.30380531476317,219.23231720756087,7.351338879707781,324.60653202017977,29.46435075344372,-5.711938678099586,0.48618968840260113,-1.0637801973818732
33019070,0.701000,0.000000,0.000000,1010.45,1010.81,1012.08,1012.89,0.0,0.0,1.0,1.0,1.0,1.0,1399.7,0.0,0.0,0.0,0.0,0.0,0.0,326.25707334285215,449.07769483524834,6.673921442274303,324.3009877327283,219.2373966031346,7.342378208448083,324.54543907883055,29.43498941978215,-5.935703437355421,0.48761137581469555,-1.049015402057964
33019171,0.801000,0.000000,0.000000,1010.48,1010.9,1011.95,1012.78,0.0,0.0,1.0,1.0,1.0,1.0,1399.53,0.0,0.0,0.0,0.0,0.0,0.0,326.2897233784503,449.09668017084914,6.677148251654763,324.3114456693942,219.23350267397552,7.341112004969853,324.64143565004116,29.466242305503798,-5.737014637701612,0.49309404968047477,-1.085820744521723
