ezloophw-py logger started on:,2026-3-25_175149
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
64313122,0.000000,0.000000,0.000000,1023.38,1023.63,1024.91,1025.69,0.0,0.0,1.0,1.0,1.0,1.0,1404.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64313221,0.000000,0.000000,0.000000,1023.4,1023.66,1024.99,1025.7,0.0,0.0,1.0,1.0,1.0,1.0,1403.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64313321,0.100000,0.000000,0.000000,1023.39,1023.64,1024.83,1025.79,0.0,0.0,1.0,1.0,1.0,1.0,1403.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64313422,0.200000,0.000000,0.000000,1023.42,1023.64,1024.79,1025.79,0.0,0.0,1.0,1.0,1.0,1.0,1402.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64313522,0.300000,0.000000,0.000000,1023.37,1023.57,1024.86,1025.72,0.0,0.0,1.0,1.0,1.0,1.0,1402.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64313621,0.402000,0.000000,0.000000,1023.38,1023.62,1024.84,1025.8,0.0,0.0,1.0,1.0,1.0,1.0,1401.5,0.0,0.0,0.0,0.0,0.0,0.0,326.07847585687443,448.90723541000847,6.568949732967927,313.7532302443683,219.79810042093987,11.674780239722393,298.6126197923062,29.820735514511746,-0.15063118555231003,3.079338109366442,-1.6020102684096633
64313721,0.500000,0.000000,0.000000,1023.48,1023.55,1024.93,1025.71,0.0,0.0,1.0,1.0,1.0,1.0,1400.98,0.0,0.0,0.0,0.0,0.0,0.0,326.0759561294875,448.89968131955334,6.556892664403184,313.75322218092737,219.80440049600722,11.668685442312578,298.64959638304964,29.815496841018714,-0.17100431785262876,3.0788976247147244,-1.6124882833647867
64313821,0.602000,0.000000,0.000000,1023.41,1023.67,1024.85,1025.73,0.0,0.0,1.0,1.0,1.0,1.0,1400.45,0.0,0.0,0.0,0.0,0.0,0.0,326.0768372772133,448.89384177065926,6.567614309113455,313.75523611582634,219.80977391307658,11.70718761795923,298.67360726201986,29.811524076607324,-0.15116157867638855,3.07876553549019,-1.6190385491362216
64313921,0.700000,0.000000,0.000000,1023.37,1023.55,1024.84,1025.88,0.0,0.0,1.0,1.0,1.0,1.0,1399.84,0.0,0.0,0.0,0.0,0.0,0.0,326.075878363057,448.889893031925,6.5442100138390575,313.7630867872118,219.8014497856621,11.680385609328715,298.65670388355016,29.820640760997794,-0.15078353586621787,3.076509891270628,-1.6066936789005126
64314021,0.801000,0.000000,0.000000,1023.39,1023.52,1024.9,1025.7,0.0,0.0,1.0,1.0,1.0,1.0,1399.63,0.0,0.0,0.0,0.0,0.0,0.0,326.0802978429067,448.8965706393323,6.564945809713584,313.76350950154335,219.8051366430713,11.67964082704147,298.657848932259,29.81948385881688,-0.1530699757122145,3.0774665162818997,-1.6089388261065567
64314121,0.900000,0.000000,0.000000,1023.44,1023.54,1024.75,1025.84,0.0,0.0,1.0,1.0,1.0,1.0,1399.7,0.0,0.0,0.0,0.0,0.0,0.0,326.06933694620824,448.8868244475332,6.549599064702679,313.734042652877,219.78640216232822,11.671109910450964,298.61933485114713,29.81582803468777,-0.14591709711607254,3.0819608099627387,-1.6148565720758228
64314222,1.001000,0.000000,0.000000,1023.41,1023.62,1024.9,1025.8,0.0,0.0,1.0,1.0,1.0,1.0,1399.8,0.0,0.0,0.0,0.0,0.0,0.0,326.0783815025171,448.887093519309,6.566241600343391,313.7493965291879,219.7888179886725,11.677471539385946,298.62440711387126,29.817807320744723,-0.13351851490382383,3.0804162784185523,-1.6086964753598938
64314321,1.102000,0.000000,0.000000,1023.5,1023.57,1024.9,1025.79,0.0,0.0,1.0,1.0,1.0,1.0,1399.76,0.0,0.0,0.0,0.0,0.0,0.0,326.0792620563111,448.89355098559577,6.575377572117281,313.76789464024176,219.79867042783638,11.667464249370502,298.64508229247946,29.822108030528092,-0.15483613555042833,3.076068459504096,-1.60078576193877
64314421,1.201000,0.000000,0.000000,1023.4,1023.61,1024.92,1025.8,0.0,0.0,1.0,1.0,1.0,1.0,1399.82,0.0,0.0,0.0,0.0,0.0,0.0,326.0807480770965,448.8988190576204,6.571246682962221,313.75683614173704,219.83765031941365,11.748007721923011,298.66096803770216,29.852485587917165,-5.129177783677855,3.079649058870223,-1.6162269560921896
64314522,1.301000,0.000000,0.000000,1023.4,1023.61,1024.88,1025.74,0.0,0.0,1.0,1.0,1.0,1.0,1399.81,0.0,0.0,0.0,0.0,0.0,0.0,326.0833223836711,448.8975325915852,6.588093932020769,313.754823461892,219.82571206568852,11.755036655036683,298.6678266781304,29.809890928925487,-0.15112083643297808,3.0806501229254977,-1.621617193874628
