ezloophw-py logger started on:,2026-3-25_122931
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44974238,0.000000,0.000000,0.000000,1027.64,1027.95,1029.0,1030.06,0.0,0.0,1.0,1.0,1.0,1.0,1404.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44974337,0.000000,0.000000,0.000000,1027.66,1027.96,1028.94,1029.99,0.0,0.0,1.0,1.0,1.0,1.0,1404.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44974437,0.100000,0.000000,0.000000,1027.55,1028.06,1029.12,1030.03,0.0,0.0,1.0,1.0,1.0,1.0,1403.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44974537,0.199000,0.000000,0.000000,1027.69,1027.96,1029.01,1029.99,0.0,0.0,1.0,1.0,1.0,1.0,1402.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44974637,0.300000,0.000000,0.000000,1027.58,1028.0,1029.12,1029.99,0.0,0.0,1.0,1.0,1.0,1.0,1402.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44974737,0.399000,0.000000,0.000000,1027.52,1027.99,1029.09,1030.04,0.0,0.0,1.0,1.0,1.0,1.0,1401.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44974837,0.501000,0.000000,0.000000,1027.62,1028.01,1029.04,1030.07,0.0,0.0,1.0,1.0,1.0,1.0,1401.25,0.0,0.0,0.0,0.0,0.0,0.0,326.00869894288286,448.790639861243,6.464297250434102,329.4480140233584,219.54923571700854,4.58084109620416,338.771486614234,28.064172884565632,-9.375590085453096,-0.859545665080336,-1.0684581188727889
44974937,0.602000,0.000000,0.000000,1027.67,1028.03,1029.07,1030.04,0.0,0.0,1.0,1.0,1.0,1.0,1400.63,0.0,0.0,0.0,0.0,0.0,0.0,326.0208353500055,448.8046951391183,6.4603057455107145,329.4488566638807,219.54734167146725,4.576814072508109,338.78583077589536,28.055940325627773,-9.365008444714366,-0.8566639814885085,-1.0781595583150423
44975038,0.706000,0.000000,0.000000,1027.63,1027.93,1029.05,1030.06,0.0,0.0,1.0,1.0,1.0,1.0,1400.11,0.0,0.0,0.0,0.0,0.0,0.0,326.0077736359895,448.7893741197131,6.461925452316822,329.44820040257224,219.55880133852563,4.588088746803339,338.76588389676556,28.06229966247913,-9.363227546044545,-0.8598640747739158,-1.0700220339727922
44975137,0.803000,0.000000,0.000000,1027.63,1027.93,1029.05,1030.06,0.0,0.0,1.0,1.0,1.0,1.0,1399.63,0.0,0.0,0.0,0.0,0.0,0.0,326.02269396007915,448.79441689733284,6.4171265225232785,329.4528687674144,219.5477713047634,4.582643795143043,338.7782335316594,28.062101710256822,-9.368263253472147,-0.8418331789612401,-1.1044391033344936
44975238,0.901000,0.000000,0.000000,1027.58,1028.03,1029.0,1029.98,0.0,0.0,1.0,1.0,1.0,1.0,1399.18,0.0,0.0,0.0,0.0,0.0,0.0,326.08404213343005,448.8292411753111,6.421829517707063,329.45262045464864,219.54988211918766,4.576654413969644,338.78471408519937,28.05598719307113,-9.376388217446545,-0.84173052586514,-1.1065333780669362
44975338,1.002000,0.000000,0.000000,1027.59,1027.81,1029.09,1030.09,0.0,0.0,1.0,1.0,1.0,1.0,1398.68,0.0,0.0,0.0,0.0,0.0,0.0,326.0119242638763,448.7890771306925,6.449321901814871,329.4515989954195,219.55218118032417,4.584298327689108,338.79063431049065,28.0571340443669,-9.377128882307138,-0.8596524378898505,-1.0727448375769413
44975437,1.103000,0.000000,0.000000,1027.55,1027.91,1029.06,1030.12,0.0,0.0,1.0,1.0,1.0,1.0,1398.12,0.0,0.0,0.0,0.0,0.0,0.0,326.01425846184253,448.79335319290954,6.437660319394849,329.4486658197885,219.55197173010197,4.558275991097364,338.7806241790223,28.061487734444277,-9.348135880347673,-0.8583194069582489,-1.07336485565191
44975537,1.200000,0.000000,0.000000,1027.58,1027.95,1029.01,1030.18,0.0,0.0,1.0,1.0,1.0,1.0,1398.08,0.0,0.0,0.0,0.0,0.0,0.0,326.08152626909265,448.8339253936074,6.410855039913457,329.4492263436864,219.56223574173467,4.575746123852555,338.7899778845698,28.065362138453384,-9.413827225081667,-0.8415392491974761,-1.1094569023573142
44975637,1.301000,0.000000,0.000000,1027.54,1027.91,1028.97,1030.13,0.0,0.0,1.0,1.0,1.0,1.0,1398.38,0.0,0.0,0.0,0.0,0.0,0.0,326.0106566401118,448.8084407706083,6.464658096510861,329.44774416096516,219.5585956956235,4.579841541812097,338.7702286007571,28.052118754986,-9.381214808873423,-0.8589574189213669,-1.0690284605495517
44975738,1.401000,0.000000,0.000000,1027.61,1027.92,1029.18,1030.16,0.0,0.0,1.0,1.0,1.0,1.0,1398.68,0.0,0.0,0.0,0.0,0.0,0.0,326.08511958936884,448.8179263411372,6.416891947164038,329.45510315801107,219.55200483386014,4.568802818392932,338.7707781310232,28.053136015186613,-9.365865545048164,-0.842130962739485,-1.1007593669680664
44975838,1.502000,0.000000,0.000000,1027.63,1027.9,1029.05,1030.02,0.0,0.0,1.0,1.0,1.0,1.0,1399.11,0.0,0.0,0.0,0.0,0.0,0.0,326.01764731512355,448.7875008871734,6.449911653124314,329.44347148716605,219.5540456251432,4.568522687177179,338.78457124935517,28.07423442299845,-9.382298214149978,-0.8562042355690495,-1.0804793227530645
