ezloophw-py logger started on:,2026-3-26_101322
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
36805669,0.000000,0.000000,0.000000,1012.78,1012.92,1014.09,1015.02,0.0,0.0,1.0,1.0,1.0,1.0,1403.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36805768,0.000000,0.000000,0.000000,1012.73,1012.92,1014.02,1014.98,0.0,0.0,1.0,1.0,1.0,1.0,1403.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36805869,0.100000,0.000000,0.000000,1012.75,1012.89,1014.16,1015.0,0.0,0.0,1.0,1.0,1.0,1.0,1402.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36805970,0.200000,0.000000,0.000000,1012.73,1012.96,1014.12,1015.09,0.0,0.0,1.0,1.0,1.0,1.0,1402.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36806069,0.301000,0.000000,0.000000,1012.71,1012.91,1014.13,1015.08,0.0,0.0,1.0,1.0,1.0,1.0,1401.46,0.0,0.0,0.0,0.0,0.0,0.0,326.03581864715443,448.8205976033865,6.496481049189044,316.3995589758751,219.56709781494348,10.112049300585022,307.2861116694988,29.03686077594981,-2.415742533790742,2.406908491569542,-2.075330941953307
36806170,0.404000,0.000000,0.000000,1012.71,1013.04,1014.1,1015.07,0.0,0.0,1.0,1.0,1.0,1.0,1400.94,0.0,0.0,0.0,0.0,0.0,0.0,326.045138095318,448.81860773232813,6.480096793922141,316.36730430446136,219.5873653169235,10.10000999638998,307.220883931736,29.080010638261086,-2.473382540584947,2.417514855534567,-2.086321198113672
36806274,0.512000,0.000000,0.000000,1012.72,1012.96,1014.07,1015.07,0.0,0.0,1.0,1.0,1.0,1.0,1400.32,0.0,0.0,0.0,0.0,0.0,0.0,326.03888513908663,448.8145933989166,6.50525903560011,316.3687149402532,219.59132651630327,10.111804252699395,307.1981232193524,29.041920696854724,-2.4005137665722187,2.4156867134564317,-2.076019313765714
36806375,0.607000,0.000000,0.000000,1012.77,1013.04,1014.15,1015.1,0.0,0.0,1.0,1.0,1.0,1.0,1399.72,0.0,0.0,0.0,0.0,0.0,0.0,326.03336122189927,448.81984931610407,6.488913607875377,316.3547916225995,219.59272596289338,10.040646465106658,307.2069159389675,29.051689058793638,-2.3540221479801415,2.417741834688735,-2.0868236982982573
36806477,0.713000,0.000000,0.000000,1012.63,1012.92,1014.11,1015.09,0.0,0.0,1.0,1.0,1.0,1.0,1399.3,0.0,0.0,0.0,0.0,0.0,0.0,326.0400290831539,448.816023553459,6.496191850318205,316.39775726530974,219.5719933638073,10.114913469296704,307.27596190889295,29.047340424684176,-2.3937241969223444,2.408507784305146,-2.075944644886454
36806574,0.813000,0.000000,0.000000,1012.73,1012.92,1013.97,1015.07,0.0,0.0,1.0,1.0,1.0,1.0,1399.06,0.0,0.0,0.0,0.0,0.0,0.0,326.0457920147899,448.812901978989,6.492255458552669,316.4382022985698,219.57464558196682,10.086065039722946,307.32195866361315,29.06802975192613,-2.392295803389886,2.399915190207474,-2.060166218668142
36806675,0.908000,0.000000,0.000000,1012.77,1012.85,1014.22,1015.08,0.0,0.0,1.0,1.0,1.0,1.0,1399.18,0.0,0.0,0.0,0.0,0.0,0.0,326.03976572627147,448.8159598382453,6.502404746157941,316.39773362427263,219.57698875504474,10.116167205689505,307.3009434971397,29.039495547677546,-2.4190487995181,2.408501066850307,-2.083617725266267
