ezloophw-py logger started on:,2026-3-26_103944
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
38387677,0.000000,0.000000,0.000000,1012.16,1012.44,1013.66,1014.46,0.0,0.0,1.0,1.0,1.0,1.0,1404.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38387777,0.000000,0.000000,0.000000,1012.17,1012.4,1013.56,1014.47,0.0,0.0,1.0,1.0,1.0,1.0,1403.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38387876,0.100000,0.000000,0.000000,1012.05,1012.38,1013.52,1014.55,0.0,0.0,1.0,1.0,1.0,1.0,1402.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38387977,0.200000,0.000000,0.000000,1012.12,1012.4,1013.53,1014.43,0.0,0.0,1.0,1.0,1.0,1.0,1402.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38388076,0.300000,0.000000,0.000000,1012.08,1012.35,1013.54,1014.45,0.0,0.0,1.0,1.0,1.0,1.0,1401.79,0.0,0.0,0.0,0.0,0.0,0.0,326.13734828056505,448.70040199754084,6.63259433409302,328.4293176728539,219.05866899587284,5.418030945410419,335.90818111756863,28.082263428547932,-8.547556112699707,-0.5718290447337738,-1.098966899901862
38388177,0.401000,0.000000,0.000000,1012.17,1012.41,1013.6,1014.48,0.0,0.0,1.0,1.0,1.0,1.0,1401.17,0.0,0.0,0.0,0.0,0.0,0.0,326.13967266680135,448.7068166410289,6.755051724011765,328.4281200520407,219.0566717263641,5.412780790941111,335.91502231856174,28.08398650152382,-8.54607145969976,-0.57092947670157,-1.1032177965983463
38388277,0.502000,0.000000,0.000000,1012.09,1012.28,1013.58,1014.43,0.0,0.0,1.0,1.0,1.0,1.0,1400.65,0.0,0.0,0.0,0.0,0.0,0.0,326.10809116354835,448.59511809756407,6.569128896968708,328.421083883095,219.05741821841815,5.41331942800546,335.91548475462315,28.07851630448412,-8.57404922940497,-0.5773353817833933,-1.0925791888811545
38388377,0.601000,0.000000,0.000000,1012.14,1012.35,1013.57,1014.42,0.0,0.0,1.0,1.0,1.0,1.0,1400.03,0.0,0.0,0.0,0.0,0.0,0.0,326.1466171591723,448.68193246688736,6.706194327198019,328.42289575218615,219.05862560643757,5.4243721264470235,335.891620769888,28.077571092922664,-8.552598186980873,-0.567960135530759,-1.103613228221709
38388477,0.702000,0.000000,0.000000,1012.14,1012.44,1013.6,1014.48,0.0,0.0,1.0,1.0,1.0,1.0,1399.48,0.0,0.0,0.0,0.0,0.0,0.0,326.10063464481163,448.6113289808763,6.51415169091075,328.41166276124017,219.06046735222642,5.397474554342465,335.90727510275576,28.086098890927854,-8.543163526297045,-0.5768119671553663,-1.0940422139095263
38388577,0.801000,0.000000,0.000000,1012.13,1012.39,1013.6,1014.55,0.0,0.0,1.0,1.0,1.0,1.0,1398.81,0.0,0.0,0.0,0.0,0.0,0.0,326.1294323489305,448.72046765955787,6.679924375800741,328.4281027542945,219.0566990081597,5.42134559954714,335.8964786315455,28.087148021282317,-8.56507958849786,-0.5734457631033473,-1.0926721484309032
38388677,0.901000,0.000000,0.000000,1012.1,1012.44,1013.63,1014.47,0.0,0.0,1.0,1.0,1.0,1.0,1398.65,0.0,0.0,0.0,0.0,0.0,0.0,326.05545799940865,448.54420150974005,6.687702080267394,328.42922842090456,219.05771528994697,5.416187366526505,335.91858874936435,28.083986695986702,-8.564170054550946,-0.5926369720020535,-1.0605268863876658
38388778,1.007000,0.000000,0.000000,1012.08,1012.4,1013.51,1014.45,0.0,0.0,1.0,1.0,1.0,1.0,1398.8,0.0,0.0,0.0,0.0,0.0,0.0,326.1320102216217,448.699118256403,6.624204961216146,328.42320859795984,219.05830477408776,5.410030007929121,335.90964110524095,28.08294135033124,-8.549978402036693,-0.5716389836219027,-1.101626611172502
38388877,1.103000,0.000000,0.000000,1012.03,1012.36,1013.56,1014.3,0.0,0.0,1.0,1.0,1.0,1.0,1399.02,0.0,0.0,0.0,0.0,0.0,0.0,326.1232858364764,448.71273195447003,6.668485357167402,328.42044501395964,219.05841730054476,5.4155038756722,335.92790736164164,28.02150419898602,-8.645730020120492,-0.5730923740600988,-1.1042948599735865
38388978,1.202000,0.000000,0.000000,1012.02,1012.19,1013.49,1014.34,0.0,0.0,1.0,1.0,1.0,1.0,1399.12,0.0,0.0,0.0,0.0,0.0,0.0,326.0861413092969,448.62787999950973,6.804595556760153,328.41835128772965,219.06064459520954,5.398400271409732,335.9086328953322,28.084450513828706,-8.572241103537687,-0.5820568934666693,-1.0819340533962907
38389077,1.303000,0.000000,0.000000,1012.02,1012.24,1013.58,1014.38,0.0,0.0,1.0,1.0,1.0,1.0,1399.5,0.0,0.0,0.0,0.0,0.0,0.0,326.05218905590533,448.546835322088,6.690613835146633,328.4237408033938,219.05625744852657,5.411491424535763,335.8978393465345,28.08473639528951,-8.550124395505327,-0.5920725402782011,-1.057109819702365
38389177,1.402000,0.000000,0.000000,1012.08,1012.38,1013.59,1014.32,0.0,0.0,1.0,1.0,1.0,1.0,1399.33,0.0,0.0,0.0,0.0,0.0,0.0,326.09793479782854,448.6072756130389,6.524070054551709,328.42292157011923,219.05776809797968,5.416364477688706,335.9131783201637,28.077625156337035,-8.593321919674224,-0.580299108329653,-1.0853957840861839
38389277,1.502000,0.000000,0.000000,1012.16,1012.39,1013.61,1014.39,0.0,0.0,1.0,1.0,1.0,1.0,1399.41,0.0,0.0,0.0,0.0,0.0,0.0,326.04627270130226,448.5358292704038,6.694521147788125,328.4336937227559,219.05662992997435,5.417050790328601,335.9071357863565,28.066051566009826,-8.551384038008685,-0.5960636693770511,-1.0487075159790877
38389377,1.603000,0.000000,0.000000,1012.04,1012.27,1013.59,1014.32,0.0,-0.0,1.0,1.0,1.0,1.0,1399.49,0.0,0.0,0.0,0.0,0.0,0.0,326.13917824614657,448.6767751612234,6.707149373727778,328.4275788121312,219.05459191054666,5.396909227949786,335.91597027520714,28.083405015023022,-8.557514006788079,-0.5709873143276504,-1.1035658254987017
38389478,1.703000,0.000000,0.000000,1012.14,1012.31,1013.61,1014.32,0.0,-0.0,1.0,1.0,1.0,1.0,1399.62,0.0,0.0,0.0,0.0,0.0,0.0,326.08478968662575,448.6366246913625,6.786248019588454,328.4165208244836,219.05983834241462,5.399754405455387,335.9005758885638,28.084109473471017,-8.555196307896134,-0.5819131876296028,-1.0803617347742571
38389577,1.803000,0.000000,0.000000,1012.13,1012.42,1013.52,1014.38,0.0,0.0,1.0,1.0,1.0,1.0,1399.58,0.0,0.0,0.0,0.0,0.0,0.0,326.1250287053496,448.6996639653947,6.695527730633888,328.4152996492762,219.0562358908899,5.392136705702995,335.8986197532808,28.084654922238656,-8.568851014572903,-0.5714011053593326,-1.1012144267197974
38389677,1.903000,0.000000,0.000000,1012.1,1012.36,1013.51,1014.26,0.0,0.0,1.0,1.0,1.0,1.0,1399.69,0.0,0.0,0.0,0.0,0.0,0.0,325.8717574263279,448.4119376663504,6.619578216496074,328.27734212325726,218.97463633362545,5.397256841364841,335.8000508019492,27.983716994268185,-8.557991123265417,-0.6007079032801873,-1.0541719061129708
