ezloophw-py logger started on:,2026-3-26_092655
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
34018687,0.000000,0.000000,0.000000,1013.52,1013.74,1014.91,1015.74,0.0,0.0,1.0,1.0,1.0,1.0,1404.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34018786,0.000000,0.000000,0.000000,1013.49,1013.59,1014.9,1015.78,0.0,0.0,1.0,1.0,1.0,1.0,1403.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34018887,0.098000,0.000000,0.000000,1013.5,1013.8,1014.93,1015.89,0.0,0.0,1.0,1.0,1.0,1.0,1403.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34018987,0.199000,0.000000,0.000000,1013.57,1013.77,1014.9,1015.68,0.0,0.0,1.0,1.0,1.0,1.0,1402.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34019087,0.300000,0.000000,0.000000,1013.49,1013.71,1015.05,1015.73,0.0,0.0,1.0,1.0,1.0,1.0,1401.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34019187,0.400000,0.000000,0.000000,1013.44,1013.69,1014.93,1015.72,0.0,0.0,1.0,1.0,1.0,1.0,1401.32,0.0,0.0,0.0,0.0,0.0,0.0,326.13223841968994,448.70142479069375,6.720874694556402,322.0167237564664,219.00702453632118,7.083789336445465,320.7194767997799,28.010470867142512,-5.273859888883272,1.0264786258822376,-1.6638107918853593
34019287,0.502000,0.000000,0.000000,1013.49,1013.58,1015.02,1015.84,0.0,0.0,1.0,1.0,1.0,1.0,1400.7,0.0,0.0,0.0,0.0,0.0,0.0,326.1441308507064,448.72526413307423,6.756556177299324,322.0197062735138,219.0058314498355,16.65451009655207,320.7645623475004,28.01161957051027,-5.322085924936172,1.028588358398799,-1.68065528339887
34019387,0.603000,0.000000,0.000000,1013.49,1013.76,1015.01,1015.66,0.0,0.0,1.0,1.0,1.0,1.0,1400.02,0.0,0.0,0.0,0.0,0.0,0.0,326.11934471442555,448.75925888283615,6.560754331391191,322.0034705758888,219.0024622552541,17.316346234131625,320.7421849678889,28.01517376658135,-5.318924146602057,1.0262895344846694,-1.674201575317711
34019488,0.702000,0.000000,0.000000,1013.47,1013.7,1014.92,1015.79,0.0,0.0,1.0,1.0,1.0,1.0,1399.63,0.0,0.0,0.0,0.0,0.0,0.0,326.14106366716146,448.7639836292071,6.5633961382066195,322.0012921032453,219.00465279249755,17.08613730934662,320.7230171456306,28.022070781109267,-5.30800527914676,1.0322356674642956,-1.6809878480281526
34019588,0.802000,0.000000,0.000000,1013.35,1013.69,1014.86,1015.74,0.0,0.0,1.0,1.0,1.0,1.0,1399.02,0.0,0.0,0.0,0.0,0.0,0.0,326.1482659126943,448.71933554657204,6.768268543786498,321.98931210476155,219.00276063712158,17.453593357823603,320.7140896463404,28.02742370591427,-5.328538912466592,1.0372106144836055,-1.6918389538218634
34019688,0.902000,0.000000,0.000000,1013.48,1013.62,1014.9,1015.74,0.0,0.0,1.0,1.0,1.0,1.0,1398.67,0.0,0.0,0.0,0.0,0.0,0.0,326.14420547830974,448.7562913197329,6.575283907351292,321.9905644431083,218.99891158706754,17.49211871564103,320.7164209921782,28.021568734938054,-5.292061731016533,1.0357020064603812,-1.6891494584741817
34019788,1.002000,0.000000,0.000000,1013.48,1013.65,1014.93,1015.75,0.0,0.0,1.0,1.0,1.0,1.0,1398.68,0.0,0.0,0.0,0.0,0.0,0.0,326.1416135885987,448.7470238981759,6.5277147241083835,322.01517959737885,219.00451060560005,17.512292538622273,320.7359995690235,28.013003851861132,-5.296705241198183,1.0289860143829952,-1.6742349598037314
34019888,1.103000,0.000000,0.000000,1013.44,1013.58,1014.86,1015.81,0.0,0.0,1.0,1.0,1.0,1.0,1399.0,0.0,0.0,0.0,0.0,0.0,0.0,326.1303187927377,448.7472430656833,6.596424435745396,322.00230034204435,219.00162664488258,17.469033126263778,320.75401196903545,28.006910310308104,-5.304668156611483,1.0293671366226735,-1.684270317265979
34019988,1.203000,0.000000,0.000000,1013.4,1013.6,1014.9,1015.81,0.0,0.0,1.0,1.0,1.0,1.0,1399.13,0.0,0.0,0.0,0.0,0.0,0.0,326.14230021112706,448.70981133071575,6.763335402587602,322.0218812551991,219.00189346495372,13.79772635040163,320.75311550227843,28.01010693471811,-5.307764293973172,1.0276411127009037,-1.6746697664016186
34020089,1.303000,0.000000,0.000000,1013.46,1013.62,1014.98,1015.74,0.0,0.0,1.0,1.0,1.0,1.0,1399.21,0.0,0.0,0.0,0.0,0.0,0.0,326.13569534654374,448.73343812892966,6.708282340342991,322.00830859776767,218.99683070551683,17.402259839456722,320.72532021862685,28.028018518638902,-5.333755858316462,1.0292499998568363,-1.6735747728981496
34020188,1.403000,0.000000,0.000000,1013.39,1013.66,1014.97,1015.73,0.0,0.0,1.0,1.0,1.0,1.0,1399.3,0.0,0.0,0.0,0.0,0.0,0.0,326.1215519811464,448.7471694507846,6.566017810648728,322.0249363919218,219.1033766253147,7.985258934734321,320.7014680447187,28.020008880176928,-5.269700751430968,1.0219910028300139,-1.6471503033354513
34020288,1.502000,0.000000,0.000000,1013.35,1013.73,1014.86,1015.86,0.0,0.0,1.0,1.0,1.0,1.0,1399.3,0.0,0.0,0.0,0.0,0.0,0.0,326.12810725755253,448.70722938092086,6.767519766175448,322.00307054576655,219.00089198995315,7.050506139646439,320.71229605158686,28.007367575792,-5.297616932121012,1.028799620287444,-1.6703881812606678
34020389,1.602000,0.000000,0.000000,1013.36,1013.77,1014.92,1015.73,0.0,-0.0,1.0,1.0,1.0,1.0,1399.47,0.0,0.0,0.0,0.0,0.0,0.0,326.13649237566915,448.71135477790307,6.766280562665942,322.02336253484805,219.00803044559677,17.40771395435798,320.73626913372834,28.025962613725884,-5.27946014631582,1.0258440906553594,-1.6655581947490044
34020488,1.702000,0.000000,0.000000,1013.38,1013.71,1014.95,1015.79,0.0,-0.0,1.0,1.0,1.0,1.0,1399.42,0.0,0.0,0.0,0.0,0.0,0.0,326.148631640611,448.70687711810945,6.747805410815606,322.02298834252827,218.99521177511082,17.45590159300867,320.7923656278215,27.90158683969108,-5.4497201052890745,1.0289270122171783,-1.6888803705775293
34020588,1.803000,0.000000,0.000000,1013.44,1013.71,1015.0,1015.79,0.0,-0.0,1.0,1.0,1.0,1.0,1399.5,0.0,0.0,0.0,0.0,0.0,0.0,326.12701361803425,448.70420472959347,6.7412401293909054,322.0292871895103,219.0092054040293,6.7442176603013975,320.7459412205235,28.01842711831126,-5.293936237695875,1.0220402188459043,-1.6590922109078605
34020688,1.903000,0.000000,0.000000,1013.44,1013.71,1015.0,1015.76,0.0,-0.0,1.0,1.0,1.0,1.0,1399.6,0.0,0.0,0.0,0.0,0.0,0.0,326.1198942371887,448.72043335278033,6.702053039497456,322.0273964675198,219.0993093408487,7.968272964077154,320.73288775252473,28.027601216264586,-5.314577195916528,1.0210647105453077,-1.6539570858959092
34020789,2.002000,0.000000,0.000000,1013.42,1013.72,1014.96,1015.82,0.0,-0.0,1.0,1.0,1.0,1.0,1399.53,0.0,0.0,0.0,0.0,0.0,0.0,325.87738950290355,448.45615238503353,6.621147241875061,321.86266915072883,218.95413548788207,7.8981871720599095,320.60592849100743,28.00411260313095,-5.234501972240431,1.0021832310771193,-1.6272788085079186
34020888,2.103000,0.000000,0.000000,1013.44,1013.76,1014.91,1015.79,0.0,-0.01,1.0,1.0,1.0,1.0,1399.65,0.0,0.0,0.0,0.0,0.0,0.0,325.62569931034454,448.9878603636073,6.410745644764617,321.6577632760132,218.11534826403633,7.877530592583951,320.43321243132243,26.770559316397176,-5.447590405569639,0.9846282927458189,-1.602585312356756
34020988,2.201000,0.000000,0.000000,1013.53,1013.65,1015.01,1015.68,0.0,-0.01,1.0,1.0,1.0,1.0,1399.77,0.0,0.0,0.0,0.0,0.0,0.0,325.90873479574935,449.72755082769686,6.376921752380312,321.7029818013719,218.14482972036961,7.813741550715319,320.3232693251567,25.756642418270065,-5.249683123400421,1.0404291304598186,-1.6699684461272892
34021089,2.302000,0.000000,0.000000,1013.44,1013.79,1014.87,1015.64,0.0,-0.0,1.0,1.0,1.0,1.0,1399.83,0.0,0.0,0.0,0.0,0.0,0.0,325.89528888647965,449.8664913231703,6.430983166944499,321.7029818013719,218.14482972036961,7.813741550715319,320.3232693251567,25.756642418270065,-5.249683123400421,1.0404291304598186,-1.6699684461272892
34021190,2.403000,0.000000,0.000000,1013.46,1013.72,1014.97,1015.66,0.0,-0.0,1.0,1.0,1.0,1.0,1399.76,0.0,0.0,0.0,0.0,0.0,0.0,325.6369890176611,448.8056929164799,6.457784040130266,321.7110596550704,218.07629767176292,7.808820022603593,320.36021765533906,26.14940028763553,-5.408110025062254,0.9748106803511795,-1.5463622634643788
34021289,2.504000,0.000000,0.000000,1013.5,1013.69,1014.91,1015.67,0.0,0.0,1.0,1.0,1.0,1.0,1399.8,0.0,0.0,0.0,0.0,0.0,0.0,325.7013383882388,448.35559954392113,6.563807749133913,321.6375688663839,218.20221386127912,8.101876360890447,320.44199722106293,26.804001674621123,-5.477533074831738,1.0115543153035962,-1.6652143865988964
34021389,2.603000,0.000000,0.000000,1013.49,1013.73,1015.01,1015.61,0.0,0.0,1.0,1.0,1.0,1.0,1399.78,0.0,0.0,0.0,0.0,0.0,0.0,325.71222687034367,448.1161863865538,6.355714315283076,321.6900086954205,218.36014254252555,8.045479538654176,320.3523120000675,27.0386148087459,-5.346631469364761,1.002944614810498,-1.6052906827550109
34021489,2.703000,0.000000,0.000000,1013.42,1013.68,1014.84,1015.64,0.0,-0.0,1.0,1.0,1.0,1.0,1399.82,0.0,0.0,0.0,0.0,0.0,0.0,325.84500328504663,448.4827188438808,6.763370610165325,321.73412935694995,218.79086866256748,7.901662126382475,320.43792052754134,27.56895882835593,-5.364975185678122,1.0253327765099052,-1.6622887300421896
34021589,2.803000,0.000000,0.000000,1013.44,1013.7,1014.91,1015.66,0.0,0.0,1.0,1.0,1.0,1.0,1399.78,0.0,0.0,0.0,0.0,0.0,0.0,326.0339067981494,448.7234245308789,6.605871533840106,321.8200496321883,218.9920795218321,7.9674358977333055,320.51219270481647,27.910347746783795,-5.197743340780048,1.05083248239838,-1.7095107210279696
34021690,2.902000,0.000000,0.000000,1013.54,1013.64,1014.95,1015.8,0.0,0.0,1.0,1.0,1.0,1.0,1399.89,0.0,0.0,0.0,0.0,0.0,0.0,326.13410407435185,448.7027021075506,6.754972708733284,322.0252599909933,219.00058289997312,11.90167266306022,320.762244410816,28.0074998234296,-5.293520064542912,1.024780795365495,-1.670676626879078
34021790,3.012000,0.000000,0.000000,1013.49,1013.76,1014.94,1015.64,0.0,0.0,1.0,1.0,1.0,1.0,1399.84,0.0,0.0,0.0,0.0,0.0,0.0,326.1319534950504,448.7263078493944,6.678592454988089,322.0278542786122,219.00217955044144,13.699426878335357,320.8053365536942,27.882415516620885,-5.493374230285195,1.0234995904108128,-1.6805056836141004
