ezloophw-py logger started on:,2026-3-19_122338
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44621991,0.000000,0.000000,0.000000,1026.4,1026.74,1027.93,1028.76,0.0,0.0,1.0,1.0,1.0,1.0,1404.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44622091,0.000000,0.000000,0.000000,1026.32,1026.72,1027.83,1028.78,0.0,0.0,1.0,1.0,1.0,1.0,1404.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44622190,0.099000,0.000000,0.000000,1026.44,1026.77,1027.75,1028.75,0.0,0.0,1.0,1.0,1.0,1.0,1403.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44622291,0.198000,0.000000,0.000000,1026.45,1026.7,1027.93,1028.79,0.0,0.0,1.0,1.0,1.0,1.0,1403.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44622391,0.299000,0.000000,0.000000,1026.43,1026.67,1027.88,1028.85,0.0,0.0,1.0,1.0,1.0,1.0,1402.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44622491,0.399000,0.000000,0.000000,1026.48,1026.66,1027.93,1028.75,0.0,0.0,1.0,1.0,1.0,1.0,1402.16,0.0,0.0,0.0,0.0,0.0,0.0,326.4514774431535,449.5122658536421,6.659771868795466,326.581613973657,219.674093287082,6.326256543013478,330.5524945003097,29.986392401556632,-6.91557234696253,0.0,0.0
44622590,0.502000,0.000000,0.000000,1026.57,1026.63,1027.87,1028.74,0.0,0.0,1.0,1.0,1.0,1.0,1401.6,0.0,0.0,0.0,0.0,0.0,0.0,326.4514774431535,449.5122658536421,6.659771868795466,326.581613973657,219.674093287082,6.326256543013478,330.5524945003097,29.986392401556632,-6.91557234696253,-0.03244140465551132,-1.1343592540085727
44622691,0.600000,0.000000,0.000000,1026.46,1026.71,1027.88,1028.69,0.0,0.0,1.0,1.0,1.0,1.0,1401.05,0.0,0.0,0.0,0.0,0.0,0.0,326.47754404441696,449.58781828344297,6.658809620435018,326.6147657648504,219.62978358558075,6.492072063431822,330.5296215029511,29.947183893195295,-6.850776703401692,-0.03418982300616239,-1.1139790460998544
44622792,0.700000,0.000000,0.000000,1026.47,1026.71,1027.93,1028.79,0.0,0.0,1.0,1.0,1.0,1.0,1400.62,0.0,0.0,0.0,0.0,0.0,0.0,326.458700989366,449.56392920483324,6.730536351878066,326.57271982564015,219.67895524011018,6.347719950674573,330.5270846968116,29.9576365264665,-6.862373221744894,-0.028417679742826368,-1.137208717267979
44622893,0.802000,0.000000,0.000000,1026.39,1026.76,1027.98,1028.78,0.0,0.0,1.0,1.0,1.0,1.0,1400.49,0.0,0.0,0.0,0.0,0.0,0.0,326.44519377243273,449.50544680141365,6.647749321605711,326.61456515141407,219.6360438234559,6.491887723052826,330.5535449139192,29.949244497466385,-6.9138448293968295,-0.04221642073317908,-1.1051833329501786
44622993,0.903000,0.000000,0.000000,1026.49,1026.77,1027.98,1028.68,0.0,0.0,1.0,1.0,1.0,1.0,1400.52,0.0,0.0,0.0,0.0,0.0,0.0,326.4494684378934,449.47501334398316,6.543017629628333,326.61057809003944,219.68865478941737,6.327687816984641,330.5591579229105,29.954726929791082,-6.939820305903029,-0.0401716692508496,-1.11187520237333
44623093,1.003000,0.000000,0.000000,1026.42,1026.66,1027.95,1028.75,0.0,0.0,1.0,1.0,1.0,1.0,1400.44,0.0,0.0,0.0,0.0,0.0,0.0,326.47980111938887,449.5590641183953,6.566974349541874,326.63870023243834,219.64683000446595,6.489480636435687,330.6424195253559,29.95057430523284,-7.018646505130554,-0.03959879356405926,-1.1299046365079994
