ezloophw-py logger started on:,2026-3-19_141950
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
51594008,0.000000,0.000000,0.000000,1024.64,1024.9,1026.04,1026.94,0.0,0.0,1.0,1.0,1.0,1.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51594107,0.000000,0.000000,0.000000,1024.66,1024.99,1026.14,1027.08,0.0,0.0,1.0,1.0,1.0,1.0,1404.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51594208,0.098000,0.000000,0.000000,1024.72,1024.97,1026.15,1026.93,0.0,0.0,1.0,1.0,1.0,1.0,1403.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51594307,0.199000,0.000000,0.000000,1024.67,1024.96,1026.22,1026.99,0.0,0.0,1.0,1.0,1.0,1.0,1403.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51594408,0.298000,0.000000,0.000000,1024.54,1024.9,1026.15,1026.98,0.0,0.0,1.0,1.0,1.0,1.0,1402.79,0.0,0.0,0.0,0.0,0.0,0.0,326.30856836848193,449.2825280513753,6.679731607820589,327.4709651710075,219.45818863065875,5.670635517712088,333.13197825797874,29.78795319820783,-7.309324052125828,-0.2897859433857245,-1.1300052391827182
51594507,0.400000,0.000000,0.000000,1024.71,1024.96,1026.16,1026.99,0.0,0.0,1.0,1.0,1.0,1.0,1402.22,0.0,0.0,0.0,0.0,0.0,0.0,326.3189490885482,449.25648839660454,6.670031513345208,327.5550925297185,219.45502069208854,5.635839305989029,333.11050903801413,29.7913019623512,-7.320744526446595,-0.30820133414591006,-1.0613612114041642
51594609,0.500000,0.000000,0.000000,1024.59,1025.02,1026.2,1026.91,0.0,0.0,1.0,1.0,1.0,1.0,1401.7,0.0,0.0,0.0,0.0,0.0,0.0,326.30982765501227,449.25294846901147,6.665739960388177,327.6250978818498,219.45854264845573,5.807491841836694,333.1336454707644,29.79445385006887,-7.288361310051219,-0.3279392713041551,-1.0077354302259818
51594707,0.602000,0.000000,0.000000,1024.64,1025.0,1026.15,1026.94,0.0,0.0,1.0,1.0,1.0,1.0,1401.16,0.0,0.0,0.0,0.0,0.0,0.0,326.3347224060073,449.33421585230707,6.6176751769789,327.4954647303102,219.46700489854888,5.708437321492639,333.0851016109207,29.79643697978945,-7.302235529813889,-0.289319519512876,-1.1093926813480812
51594807,0.700000,0.000000,0.000000,1024.66,1024.95,1026.14,1026.9,0.0,0.0,1.0,1.0,1.0,1.0,1400.67,0.0,0.0,0.0,0.0,0.0,0.0,326.3503214667592,449.3123624213201,6.647761053341449,327.4635536859067,219.45395462772254,5.6760419117548935,333.09123877759953,29.782631341061222,-7.348909646346626,-0.3441126715111407,-0.9465724280937348
51594908,0.801000,0.000000,0.000000,1024.65,1024.91,1026.11,1026.93,0.0,0.0,1.0,1.0,1.0,1.0,1400.2,0.0,0.0,0.0,0.0,0.0,0.0,326.3411522070998,449.32396678115117,6.6016769662272505,327.4699658450686,219.4616162368455,5.696825543913235,333.02012360893065,29.770412522417754,-7.377768679839327,-0.28136724979836547,-1.1131993908618436
51595009,0.901000,0.000000,0.000000,1024.74,1024.91,1026.13,1026.97,0.0,0.0,1.0,1.0,1.0,1.0,1399.66,0.0,0.0,0.0,0.0,0.0,0.0,326.3482934862298,449.2982733448652,6.6950482365195745,327.52419414105736,219.44362609881347,5.8506804517113675,333.0819295334603,29.778361431810893,-7.385849424045171,-0.2931137468644284,-1.092222627064665
51595109,1.001000,0.000000,0.000000,1024.66,1025.01,1026.09,1026.95,0.0,0.0,1.0,1.0,1.0,1.0,1399.3,0.0,0.0,0.0,0.0,0.0,0.0,326.3504915776952,449.31730045498284,6.636852323303944,327.47285726958995,219.45694626675524,5.6781019588519905,333.0404352492047,29.792663538477026,-7.363353887020852,-0.27976249486335675,-1.1219046125719756
51595209,1.101000,0.000000,0.000000,1024.57,1025.03,1026.1,1026.99,0.0,0.0,1.0,1.0,1.0,1.0,1399.38,0.0,0.0,0.0,0.0,0.0,0.0,326.33951153704106,449.3302528580603,6.62206339917339,327.4650594455435,219.44888033122982,5.656041644893966,333.12163118431107,29.793393772124446,-7.318027828087399,-0.28053003497028506,-1.1473093672922612
51595311,1.201000,0.000000,0.000000,1024.55,1025.08,1026.06,1027.1,0.0,0.0,1.0,1.0,1.0,1.0,1399.65,0.0,0.0,0.0,0.0,0.0,0.0,326.3488217436519,449.3298760477677,6.6263952250464815,327.6195844040817,219.42311731752798,5.768093387533982,333.0848470438881,29.796505452953724,-7.283426357479795,-0.31668749607519575,-1.0174999559492743
51595409,1.305000,0.000000,0.000000,1024.62,1025.0,1026.14,1026.91,0.0,0.0,1.0,1.0,1.0,1.0,1399.81,0.0,0.0,0.0,0.0,0.0,0.0,326.34049963436485,449.29826035086734,6.655880999489834,327.5360993878684,219.44220305491942,5.562316793413976,333.1477769067718,29.79880409181779,-7.325511708956198,-0.2980221747467817,-1.0988822621654666
51595509,1.402000,0.000000,0.000000,1024.61,1025.1,1026.23,1026.97,0.0,0.0,1.0,1.0,1.0,1.0,1400.03,0.0,0.0,0.0,0.0,0.0,0.0,326.3424457546773,449.2974717538257,6.649850634369632,327.5127290233119,219.42635961457,5.54405491628532,333.08024828497895,29.79763235075882,-7.31315519082655,-0.2916926455430386,-1.0983416727460904
51595609,1.502000,0.000000,0.000000,1024.59,1024.9,1026.1,1026.99,0.0,0.0,1.0,1.0,1.0,1.0,1400.06,0.0,0.0,0.0,0.0,0.0,0.0,326.3478834247184,449.30836311077195,6.651135083623965,327.4725959082826,219.44799352128888,5.680656909288012,333.112717149113,29.777352255943153,-7.322610723293506,-0.2803474314369327,-1.1425731867491846
51595709,1.601000,0.000000,0.000000,1024.56,1024.93,1026.2,1027.02,0.0,0.0,1.0,1.0,1.0,1.0,1400.05,0.0,0.0,0.0,0.0,0.0,0.0,326.33643944067336,449.3071603273343,6.679140455132097,327.4685838538259,219.45411717240344,5.67629203225104,333.0669430467552,29.794924711566598,-7.358421289622415,-0.28220888971817054,-1.126347835963767
51595810,1.702000,0.000000,0.000000,1024.61,1025.04,1026.13,1026.96,-0.0,-0.0,1.0,1.0,1.0,1.0,1400.12,0.0,0.0,0.0,0.0,0.0,0.0,326.34318992278173,449.2958752507874,6.663731041809233,327.549142551517,219.45375940773823,5.856604421414724,333.06665340003707,29.78273074055865,-7.389334891932273,-0.3006209789383288,-1.0650165129759346
