ezloophw-py logger started on:,2026-3-24_134410
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
49453525,0.000000,0.000000,0.000000,1026.93,1027.14,1028.29,1029.1,0.0,0.0,1.0,1.0,1.0,1.0,1404.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49453624,0.000000,0.000000,0.000000,1026.87,1027.09,1028.2,1029.13,0.0,0.0,1.0,1.0,1.0,1.0,1404.15,0.0,0.0,0.0,0.0,0.0,0.0,326.08103161477055,449.03499778712495,6.48576048775277,332.7925573088846,219.24405657691085,3.7908016050082276,346.0782538685529,29.928320668407313,-10.1566819557956,-1.6729676338423383,-0.6683553996370164
49453730,0.102000,0.000000,0.000000,1026.68,1027.09,1028.31,1029.04,0.0,0.0,1.0,1.0,1.0,1.0,1403.56,0.0,0.0,0.0,0.0,0.0,0.0,326.08937597396215,449.0239175533177,6.485663402911696,332.7924017322189,219.23848262381304,3.801424624475629,346.0821889861182,29.935896930586196,-10.158814330157979,-1.6708900902003936,-0.6740204850862415
49453828,0.215000,0.000000,0.000000,1026.87,1027.05,1028.2,1029.16,0.0,0.0,1.0,1.0,1.0,1.0,1403.05,0.0,0.0,0.0,0.0,0.0,0.0,326.07220244927845,449.01911405367304,6.488016136107942,332.84431968651427,219.2089218670787,3.9091366955068794,346.06366226581133,29.93204458218927,-10.170939092780092,-1.6879211328915,-0.6192818946270293
49453929,0.305000,0.000000,0.000000,1026.95,1027.08,1028.22,1029.2,0.0,0.0,1.0,1.0,1.0,1.0,1402.51,0.0,0.0,0.0,0.0,0.0,0.0,326.08714473058876,449.0262547197549,6.4733844827801095,332.77648767722576,219.2424766574019,3.782309137604029,346.06432604550787,29.924887207396953,-10.17210492593848,-1.6674932651460854,-0.6799099908152604
49454029,0.405000,0.000000,0.000000,1026.81,1027.02,1028.27,1029.09,0.0,0.0,1.0,1.0,1.0,1.0,1401.96,0.0,0.0,0.0,0.0,0.0,0.0,326.0746682746923,449.0267948343166,6.488650598450715,332.7872400333035,219.23051083249274,3.830148338893898,346.07658413065803,29.93751321683223,-10.146258098257428,-1.6731893552378492,-0.6694912199111984
49454128,0.505000,0.000000,0.000000,1026.88,1027.03,1028.26,1029.17,0.0,0.0,1.0,1.0,1.0,1.0,1401.37,0.0,0.0,0.0,0.0,0.0,0.0,326.0790378123059,449.01925835440363,6.503562241866729,332.8041988562807,219.23419577252858,3.818503010345258,346.0698102234313,29.94018057631509,-10.132362519621289,-1.6764074131319893,-0.6558852995040976
49454229,0.605000,0.000000,0.000000,1026.97,1027.1,1028.26,1029.16,0.0,0.0,1.0,1.0,1.0,1.0,1401.02,0.0,0.0,0.0,0.0,0.0,0.0,326.0840928716092,449.02479020721955,6.49392481972408,332.79227297836246,219.24286411944988,3.8118502266787577,346.082969732477,29.944287266238057,-10.149976877978792,-1.6721997262454678,-0.6717599106391523
49454328,0.705000,0.000000,0.000000,1026.86,1027.03,1028.25,1029.13,0.0,0.0,1.0,1.0,1.0,1.0,1400.46,0.0,0.0,0.0,0.0,0.0,0.0,326.0912623543137,449.02208008881405,6.482055134374274,332.8020872164849,219.238257903679,3.814295380926768,346.0694355149886,29.93612353773881,-10.149343084332054,-1.6728448342532953,-0.6633622295282287
49454429,0.805000,0.000000,0.000000,1026.81,1027.09,1028.22,1029.04,0.0,0.0,1.0,1.0,1.0,1.0,1399.97,0.0,0.0,0.0,0.0,0.0,0.0,326.0809115899091,449.02702265378514,6.4867885107009,332.79305813028327,219.23403425820007,3.8213403818379996,346.0733072603918,29.9364635864586,-10.1469399776831,-1.6731074058211217,-0.666819086488045
