ezloophw-py logger started on:,2026-3-4_121806,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1040.,1040,1040,1040.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44290313,0.000000,0.000000,0.000000,1046.47,1042.48,1040.22,1040.86,0.0,0.0,1.0,0.42,0.04,0.17,1471.76,649.6715013412360,672.4949562504370,0.34847768085591400,650.5937820201390,327.97921593832100,-0.035083132354821,663.7881956846870,45.902176605252600,-4.518363817082880,-0.15338243804865400,-2.37134596702459
44290413,0.100000,0.000000,0.000000,1042.61,1040.3,1040.1,1040.64,0.0,0.0,0.44,0.05,0.02,0.13,1472.98,649.6679956499630,672.5100751347350,0.3384544427576450,650.1709432832200,327.99070505377500,-0.20634863451299500,662.9904336742570,45.973770356947700,-4.511444760424790,-0.08364335573885670,-2.435384733068530
44290514,0.199000,0.000000,0.000000,1041.27,1039.64,1040.06,1040.6,0.0,0.0,0.22,0.06,0.01,0.12,1472.78,649.7347884175650,672.5517732770870,0.41379644908499400,648.623560723163,328.0000253527430,0.43498779492995500,659.6392956333280,45.89627759543270,-4.241028526093080,0.18478628131114100,-2.6057520687419400
44290613,0.300000,0.000000,0.000000,1040.92,1039.63,1040.05,1040.72,0.0,0.0,0.16,0.06,0.01,0.14,1474.21,649.6727670500680,672.4997580349230,0.36401301877131200,646.0157597641750,327.90630136427200,0.7956090893019200,652.8714263436280,45.75192386194880,-3.066594053192840,0.6080301683306370,-2.607934856090190
44290713,0.403000,0.000000,0.000000,1041.0,1039.56,1039.87,1040.72,0.0,0.0,0.17,0.07,0.03,0.14,1473.77,649.7129272070510,672.5615318716370,0.4146872084771430,646.2967279197670,327.97172658697400,0.6513489143774500,652.9881519318750,45.769384291905400,-3.023908159881900,0.568001101692368,-2.4943131388780200
44290813,0.500000,0.000000,0.000000,1041.11,1039.51,1039.88,1040.71,0.0,0.0,0.19,0.08,0.02,0.14,1474.87,649.7129272070510,672.5615318716370,0.4146872084771430,646.2967279197670,327.97172658697400,0.6513489143774500,652.9881519318750,45.769384291905400,-3.023908159881900,0.568001101692368,-2.4943131388780200
44290913,0.605000,0.000000,0.000000,1041.13,1039.52,1039.91,1040.67,0.0,0.0,0.19,0.08,0.02,0.13,1476.15,649.6699452291930,672.4950773964520,0.357962574416401,647.6103103679800,327.91678699969800,0.43838846463089100,655.9868314277220,45.734589444943600,-3.6333330796808200,0.342467830436099,-2.3852498913842000
44291014,0.701000,0.000000,0.000000,1041.21,1039.29,1039.93,1040.44,0.0,0.0,0.21,0.12,0.01,0.09,1477.36,649.6845494276680,672.5133068402420,0.3510087270311920,650.9425389828100,328.1028629597700,-0.7150867568133400,664.2095632483240,45.95806078501040,-4.716848948822640,-0.20927696278146100,-2.273627495190130
44291114,0.802000,0.000000,0.000000,1041.16,1039.24,1039.93,1040.55,0.0,0.0,0.2,0.13,0.01,0.11,1478.39,649.6845494276680,672.5133068402420,0.3510087270311920,650.9425389828100,328.1028629597700,-0.7150867568133400,664.2095632483240,45.95806078501040,-4.716848948822640,-0.20927696278146100,-2.273627495190130
44291215,0.902000,0.000000,0.000000,1041.18,1039.37,1039.97,1040.34,0.0,0.0,0.2,0.11,0.01,0.07,1479.69,649.6737835274390,672.4855522667000,0.33218771198210800,651.2388183967210,328.07597412234900,-0.4618936917528610,665.3445941001270,45.9471110751125,-4.808446843233050,-0.2603565095246150,-2.3415569970535900
44291315,1.002000,0.000000,0.000000,1041.15,1039.33,1039.88,1040.53,0.0,0.0,0.19,0.11,0.02,0.11,1480.66,649.6737835274390,672.4855522667000,0.33218771198210800,651.2388183967210,327.87540449379800,-0.0033322878024212000,662.1189950340070,45.91122264951930,-4.574123889854700,-0.2603565095246150,-2.3415569970535900
44291415,1.102000,0.000000,0.000000,1041.0,1039.47,1039.85,1040.61,0.0,0.0,0.17,0.09,0.03,0.12,1481.85,648.9834439225560,672.1768201099390,0.16515517429948000,647.4071709327380,326.4962836253750,0.3652722752821640,657.4822610241610,43.6218880190112,-4.108835980509050,0.26126192884435100,-2.5623558074704800
44291515,1.203000,0.000000,0.000000,1040.92,1039.6,1039.9,1040.64,0.0,0.0,0.16,0.07,0.02,0.13,1481.85,648.9834439225560,672.1768201099390,0.16515517429948000,647.4071709327380,326.4962836253750,0.3652722752821640,657.4822610241610,43.6218880190112,-4.108835980509050,0.26126192884435100,-2.5623558074704800
44291615,1.303000,0.000000,0.000000,1040.98,1039.48,1039.94,1040.58,0.0,0.0,0.17,0.09,0.01,0.12,1482.93,648.977900532217,672.2107593155040,0.18811159281850900,646.1780690985940,326.5091948267570,0.5910710807609980,654.2043955811590,43.69499345229940,-3.465215891595560,0.4640274550011200,-2.5536848227299400
44291716,1.404000,0.000000,0.000000,1041.08,1039.39,1039.89,1040.49,0.0,-0.01,0.18,0.1,0.02,0.1,1483.72,649.0317824079730,673.4932817534070,0.4916596165955550,646.4252087377950,326.49874620285900,0.709877479462239,654.1230209851410,42.226559665739200,-4.0746758378840900,0.43038966321556700,-2.4119138292701900
44291817,1.505000,0.000000,0.000000,1041.14,1039.39,1039.87,1040.55,0.0,-0.01,0.19,0.1,0.03,0.11,1484.53,649.0317824079730,673.4932817534070,0.4916596165955550,646.4252087377950,326.49874620285900,0.709877479462239,654.1230209851410,42.226559665739200,-4.0746758378840900,0.43038966321556700,-2.4119138292701900
44291916,1.607000,0.000000,0.000000,1041.2,1039.26,1039.82,1040.54,0.0,-0.01,0.2,0.13,0.04,0.11,1485.17,648.979726434027,674.3403402359730,0.6092860121483960,646.4252087377950,326.49874620285900,0.709877479462239,654.1230209851410,42.226559665739200,-4.0746758378840900,0.43038966321556700,-2.4119138292701900
44292017,1.703000,0.000000,0.000000,1041.13,1039.21,1039.88,1040.39,0.0,-0.01,0.19,0.13,0.02,0.08,1485.48,648.979726434027,674.3403402359730,0.6092860121483960,646.4252087377950,326.49874620285900,0.709877479462239,654.1230209851410,42.226559665739200,-4.0746758378840900,0.43038966321556700,-2.4119138292701900
44292117,1.802000,0.000000,0.000000,1041.11,1039.27,1039.89,1040.35,0.0,-0.01,0.19,0.12,0.02,0.07,1485.81,648.9334610608460,673.067248713855,0.3440087302705710,650.4918249591390,326.5448122442730,-0.3450460926966670,664.6101132661170,42.81080026346130,-5.103085414224110,-0.25766606429788000,-2.3332925584190500
44292216,1.909000,0.000000,0.000000,1041.04,1039.32,1039.79,1040.48,0.0,-0.01,0.18,0.11,0.04,0.1,1486.17,648.9647471889570,672.7597598515270,0.4893368333986150,649.6740650791640,326.48032723423500,-0.24490666535813600,662.9041711847170,43.002978985242800,-4.845724238281110,-0.1173643617605710,-2.4373704595156200
44292316,2.005000,0.000000,0.000000,1040.92,1039.46,1039.81,1040.48,0.0,-0.01,0.16,0.09,0.04,0.1,1486.38,648.9647471889570,672.7597598515270,0.4893368333986150,649.6740650791640,326.48032723423500,-0.24490666535813600,662.9041711847170,43.002978985242800,-4.845724238281110,-0.1173643617605710,-2.4373704595156200
44292416,2.103000,0.000000,0.000000,1041.08,1039.5,1039.77,1040.61,0.0,-0.01,0.18,0.08,0.05,0.12,1486.61,648.9804091745430,672.1993360270800,0.1662369111095120,646.7755873085130,326.6022615335390,0.4413549066023020,656.3008006993260,43.67976293670240,-3.737073968033190,0.3655276128805010,-2.65931638627516
44292516,2.204000,0.000000,0.000000,1040.86,1039.5,1039.77,1040.5,0.0,-0.01,0.15,0.09,0.05,0.1,1486.99,648.9804091745430,672.1993360270800,0.1662369111095120,646.7755873085130,326.6022615335390,0.4413549066023020,656.3008006993260,43.67976293670240,-3.737073968033190,0.3655276128805010,-2.65931638627516
44292617,2.307000,0.000000,0.000000,1041.02,1039.51,1039.8,1040.42,0.0,-0.01,0.17,0.08,0.04,0.08,1487.04,648.977994990202,671.8441686582410,0.1515615730728590,646.2079450895750,326.5172089731100,0.6407202834221420,654.1109640193220,43.90015813150720,-3.4446189753730600,0.4595898464336340,-2.520964356756680
44292716,2.405000,0.000000,0.000000,1041.0,1039.34,1039.79,1040.33,0.0,-0.01,0.17,0.11,0.04,0.07,1487.22,649.0408565311640,671.8677325523860,0.15466512383358500,646.2715219445470,326.769177158984,0.6371160382162820,654.0202483380500,44.2306196473405,-3.2397727171500800,0.45977525999503100,-2.490515072106870
44292817,2.506000,0.000000,0.000000,1041.16,1039.13,1039.92,1040.39,0.0,-0.01,0.2,0.15,0.02,0.08,1487.32,649.2081523169370,672.3425701093400,0.33055448382722400,648.6262533634670,327.59928503608900,0.21986809897564200,659.2655820250260,45.30144836776950,-4.052668920449560,0.09671057832750080,-2.351780782773950
44292916,2.609000,0.000000,0.000000,1041.07,1039.23,1039.83,1040.42,0.0,0.0,0.18,0.13,0.03,0.08,1487.36,649.2081523169370,672.3425701093400,0.33055448382722400,648.6262533634670,327.59928503608900,0.21986809897564200,659.2655820250260,45.30144836776950,-4.052668920449560,0.09671057832750080,-2.351780782773950
