ezloophw-py logger started on:,2026-3-5_141727,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
51451177,0.000000,0.000000,0.000000,1028.09,1028.57,1029.7,1030.63,0.03,0.0,1401.92,649.6967970131720,672.561727950379,0.2902570821335880,646.3911206377270,330.1970372827970,2.5325689234554100,644.5041951126150,40.66701486227230,-0.5149674726512240,0.5531978748256070,-0.7329928903530570
51451277,0.099000,0.000000,0.000000,1028.18,1028.63,1029.84,1030.42,0.03,0.0,1401.46,649.689333886132,672.5565861310660,0.3150084938406130,646.2400068258560,330.21844774197000,2.4101182729162700,644.1878897885860,40.70684993119730,-0.3968038282996780,0.5696927654391270,-0.7380926484058060
51451377,0.199000,0.000000,0.000000,1028.17,1028.52,1029.77,1030.58,0.03,0.0,1400.88,649.75865517966,672.5999039336770,0.26682107472358700,646.2776560549860,330.22152892324800,2.500839014612100,644.0025618697660,40.76084468829280,-0.3157552628867930,0.5825125096720370,-0.7147026862161220
51451477,0.299000,0.000000,0.000000,1028.17,1028.58,1029.75,1030.56,0.03,0.0,1400.35,649.7407829368700,672.6212979861910,0.32331264305742600,646.2886258888010,330.2302731639830,2.5372051568199100,643.9864875350430,40.748657097966500,-0.27758382567279300,0.5776650460221680,-0.6996879247571960
51451578,0.400000,0.000000,0.000000,1028.09,1028.53,1029.69,1030.46,0.03,0.0,1399.98,649.7761220031540,672.6347505703290,0.3979343255979530,646.3141411503280,330.2050694233040,2.513196842984510,644.1695941431130,40.66028147474840,-0.3115952584565910,0.5792434030496580,-0.7341267388281310
51451677,0.502000,0.000000,0.000000,1028.08,1028.48,1029.73,1030.55,0.03,0.0,1399.49,649.7866726997930,672.6327533523380,0.39505827741133900,646.4191640773870,330.20356450659800,2.5204489878691100,644.2290125724130,40.729085843138200,-0.37528784267624600,0.5634385684591100,-0.693387994958289
51451778,0.611000,0.000000,0.000000,1028.16,1028.45,1029.7,1030.63,0.03,0.0,1399.41,649.752721632437,672.5913475519420,0.27705250006304500,646.4473295584590,330.17038704034700,2.4898872677901500,644.4544448440690,40.72451589499600,-0.44410344162957400,0.5530594073079000,-0.7116337301620640
51451878,0.700000,0.000000,0.000000,1028.18,1028.52,1029.65,1030.59,0.03,0.0,1399.51,649.7666147615830,672.6353070915000,0.4498867574830210,646.4945820292850,330.1627463391810,2.465806815022650,644.5286374320110,40.66211870791800,-0.45447803551203200,0.5473955682317160,-0.7057121984484340
51451978,0.800000,0.000000,0.000000,1028.15,1028.58,1029.79,1030.63,0.03,0.0,1399.85,649.7370997289080,672.602971768337,0.3066837501206060,646.492007405702,330.17011723816600,2.4433792383290400,644.6441073985720,40.76630070260870,-0.3735856605028260,0.5429517823354010,-0.7200637710525900
51452078,0.901000,0.000000,0.000000,1028.16,1028.62,1029.78,1030.65,0.03,0.0,1399.9,649.7792945697450,672.6521191619890,0.42641399469666600,646.4399118131550,330.19901360304300,2.5067227165189400,644.6032787464740,40.635567588584800,-0.5114975065083510,0.5586939374561420,-0.7539790484816980
51452177,1.001000,0.000000,0.000000,1028.05,1028.65,1029.77,1030.59,0.03,0.0,1400.2,649.6888280464320,672.5448148613560,0.31752245836240000,646.382529129899,330.2054600344630,2.3698210231581000,644.4365821699320,40.678342436506700,-0.48114710706126100,0.5533429954849970,-0.7215998889581970
51452277,1.100000,0.000000,0.000000,1028.13,1028.6,1029.79,1030.68,0.0,0.0,1400.25,649.7320251221440,672.6321584434090,0.33613622697326000,646.2832416007420,330.23381385074900,2.499181921967110,644.3335530231690,40.74870226489830,-0.436133614406741,0.5770882403655150,-0.7682939832324390
51452377,1.203000,0.000000,0.000000,1028.23,1028.58,1029.66,1030.64,-0.01,0.0,1400.45,649.7572812954580,672.61876320292,0.2897802288530280,646.3018873346850,330.2104903077820,2.3848148249681000,643.9874180630820,40.705256615476200,-0.259376383364452,0.5781775325755740,-0.698309819010799
51452477,1.301000,0.000000,0.000000,1028.16,1028.46,1029.77,1030.59,-0.01,0.0,1400.46,649.6846661504410,672.5428520569790,0.29533310124870100,646.3444055903760,330.23501850777500,2.5222619839567500,643.9636787921650,40.761963759904100,-0.2746212834398890,0.5590779400332180,-0.6469461418450370
51452577,1.401000,0.000000,0.000000,1028.18,1028.56,1029.8,1030.66,-0.01,0.0,1400.49,649.7630209796050,672.6418615833770,0.4140355163456510,646.2038338515670,330.20778650349000,2.3538548956391700,643.9380276661290,40.72385989046880,-0.24398503000585100,0.5954987333441400,-0.7425494918063850
