ezloophw-py logger started on:,2026-3-9_121724
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44247879,0.000000,0.000000,0.000000,1016.86,1017.11,1018.46,1019.29,0.0,0.0,1404.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44247978,0.000000,0.000000,0.000000,1016.77,1017.21,1018.53,1019.17,0.0,0.0,1403.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44248079,0.099000,0.000000,0.000000,1016.81,1017.2,1018.32,1019.25,0.0,0.0,1403.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44248178,0.200000,0.000000,0.000000,1016.81,1017.15,1018.44,1019.22,0.0,0.0,1402.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44248278,0.300000,0.000000,0.000000,1016.82,1017.15,1018.4,1019.2,0.0,0.0,1402.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44248379,0.399000,0.000000,0.000000,1016.84,1017.16,1018.37,1019.17,0.0,0.0,1401.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44248478,0.502000,0.000000,0.000000,1016.73,1017.2,1018.48,1019.18,0.0,0.0,1401.27,649.7508531867411,672.400502311867,0.2924828596874302,649.5005411865094,329.1990225018464,1.1692078738377074,654.7745879698305,42.7342263534958,-2.162282281996411,0.041788335643785195,-1.1383187914328659
44248579,0.601000,0.000000,0.000000,1016.75,1017.2,1018.34,1019.25,0.0,0.0,1401.07,649.6990016840192,672.3498408914246,0.3082962315823453,649.5116608194145,329.2006468530443,1.1639246492305912,654.8184299176538,42.742071915870504,-2.064372409192299,0.03128038763381279,-1.1238684924683355
44248678,0.700000,0.000000,0.000000,1016.82,1017.16,1018.41,1019.23,0.0,0.0,1400.93,649.7545990157698,672.3967812023332,0.29887305023648275,649.5028827494243,329.19831777214387,1.157514604584841,654.8196080698657,42.74165992326878,-2.0717104540980356,0.042023140098433866,-1.147351813036945
44248778,0.799000,0.000000,0.000000,1016.79,1017.14,1018.31,1019.23,0.0,0.0,1400.68,649.7568860102274,672.393378668829,0.28208413162604673,649.5093928993377,329.2089827835115,1.158508546980849,654.794274437225,42.73566561369248,-2.056612933159828,0.04131979316150275,-1.1395165981092252
