ezloophw-py logger started on:,2026-2-9_135840,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
50324625,0.000000,0.000000,0.000000,1017.84,1018.12,1019.49,1020.32,0.0,0.0,1.0,1.0,1.0,1.0,1389.18,645.4332499007340,677.4183279954730,-0.7478863361937000,638.1145998014330,334.66401372205600,3.1919625037239100,634.4216272270160,57.67736184433310,-0.3865744629453850,1.2232203495556900,-1.6825800410414100
50324726,0.098000,0.000000,0.000000,1017.75,1018.21,1019.45,1020.37,0.0,0.0,0.7,0.62,0.49,0.3,1384.77,645.3688422202510,677.382384770264,-0.6432195470539810,639.0084557663170,334.5897814313040,3.0721024608245900,634.9151038813730,57.57277748074220,-0.14374427809498300,1.0629794356431100,-1.2793873025174000
50324827,0.198000,0.000000,0.000000,1024.76,1021.43,1023.1,1021.72,0.0,0.0,0.5,0.07,0.24,0.03,1381.0,645.4494085991100,677.4323116417220,-0.7452849839969980,639.4228267733860,334.64109908059500,3.004573528610320,636.4175328247630,57.58553001533130,-0.5902325539328900,1.0072082410710000,-1.3929386067231500
50324927,0.298000,0.000000,0.000000,1026.24,1022.47,1022.94,1021.83,0.0,0.0,0.75,0.11,0.21,0.01,1382.32,645.4663495604370,677.4283700474490,-0.8034406621829040,639.3492086116230,334.5287799172760,2.9854195528578900,636.6268031654970,57.62429136308230,-0.3671532845229580,1.0220169283870100,-1.4807446246101600
50325027,0.398000,0.000000,0.000000,1024.84,1022.0,1022.88,1021.91,0.0,0.0,0.51,0.03,0.2,0.0,1383.41,645.4014975833800,677.4425402075550,-0.8516953217966020,638.9792684988750,334.4736818599290,3.164261465664760,634.540665150272,57.748505120694200,0.1573855807361310,1.0727610209672700,-1.2265907187929600
50325127,0.501000,0.000000,0.000000,1023.74,1021.51,1023.02,1021.83,0.0,0.0,0.33,0.06,0.22,0.01,1382.56,645.4045095399940,677.3485653444860,-0.624884190513033,637.330935885333,334.6867738454180,3.434847192071910,631.0081885588330,57.82190459760470,0.04467401497871100,1.3497160676171100,-1.3911990602050100
50325227,0.601000,0.000000,0.000000,1023.47,1021.55,1022.86,1021.93,0.0,0.0,0.28,0.05,0.19,0.01,1383.63,645.4149012245370,677.4271673923700,-0.7430813674689530,635.1408267025800,334.7427390734800,4.0766816805602800,626.962761452144,57.93916700999050,0.610691224677932,1.7172791595459100,-1.7422667219780200
50325327,0.701000,0.000000,0.000000,1023.46,1021.49,1022.86,1022.02,0.0,0.0,0.28,0.06,0.19,0.03,1384.86,645.4580596318390,677.4475960970420,-0.7349687415542680,634.65996747428,334.73113893342100,4.245774968666880,623.1536487862260,58.00345709632940,1.645123002662130,1.8046419731577900,-1.2283007491851400
50325428,0.803000,0.000000,0.000000,1023.49,1021.37,1022.99,1021.77,0.0,0.0,0.29,0.08,0.22,0.03,1384.79,645.4293150991230,677.4689069691450,-0.7220550997145790,634.6328207877300,334.8283729135560,4.332077657921850,623.6147835936680,58.124080570079700,1.2668834689818500,1.8047746614170000,-1.3293038729711900
50325528,0.905000,0.000000,0.000000,1023.6,1021.4,1022.83,1021.75,0.0,0.0,0.31,0.08,0.19,0.03,1385.9,645.389823747789,677.443638903948,-0.7141268483215290,635.3997347243770,334.70802654539900,3.912827400862850,626.7778297369810,57.9110014935419,0.5688505626844420,1.669589902468890,-1.5550598615754800
50325627,1.003000,0.000000,0.000000,1023.67,1021.2,1022.78,1021.86,0.0,0.0,0.32,0.11,0.18,0.01,1386.7,645.0031798434170,677.1140994822910,-0.6642663748029720,637.4780901877340,334.3298041211010,3.301186347474640,629.7889569433630,57.727207206104000,0.5442548090841210,1.2576032264430300,-0.922880639355333
50325727,1.103000,0.000000,0.000000,1023.71,1021.32,1023.04,1021.78,0.0,0.0,0.33,0.09,0.23,0.02,1387.64,644.5148771197780,677.0810144776540,-0.6042617140318630,638.585381757656,333.13537859764500,3.087468037368460,634.0478637408440,55.30676716268710,-0.461642367304406,0.9876601779136170,-1.0396445133549500
50325827,1.203000,0.000000,0.000000,1023.69,1021.24,1022.85,1021.91,0.0,0.0,0.32,0.1,0.19,0.0,1387.64,644.5464710517290,677.1401384624570,-0.634247489152698,639.1537129799610,333.1228095032330,2.7624047173757500,636.4672052297100,55.20397977434370,-0.7424864496666520,0.8980854923692780,-1.2423374723149200
50325927,1.303000,0.000000,0.000000,1023.66,1021.3,1022.89,1021.76,0.0,0.0,0.32,0.1,0.2,0.03,1387.92,644.5065838864950,678.3528414060580,-0.4448526624569190,639.269036683794,332.93994620134200,2.4748527447387200,635.4661659269630,53.854751641574300,-1.0704905465528700,0.8687178680839720,-0.9567602836849340
50326028,1.403000,0.000000,0.000000,1023.55,1021.49,1022.86,1021.81,0.0,0.0,0.3,0.06,0.19,0.02,1387.36,644.5238107693570,678.3573938215340,-0.45963190615462700,637.7350568320530,332.9901028167050,3.1235893589869700,633.19309065227,53.83479544563740,-0.5090170372999450,1.1260964016983500,-1.3200502795073500
50326128,1.503000,0.000000,0.000000,1023.4,1021.53,1022.74,1021.77,0.0,0.0,0.28,0.06,0.17,0.02,1387.86,644.4976405969490,679.3749733377610,-0.19119498279770600,637.7350568320530,332.9901028167050,3.1235893589869700,633.19309065227,53.83479544563740,-0.5090170372999450,1.1260964016983500,-1.3200502795073500
50326229,1.602000,0.000000,0.000000,1023.58,1021.49,1022.86,1021.84,0.0,0.0,0.31,0.06,0.2,0.01,1388.51,644.4976405969490,679.3749733377610,-0.19119498279770600,637.7350568320530,332.9901028167050,3.1235893589869700,633.19309065227,53.83479544563740,-0.5090170372999450,1.1260964016983500,-1.3200502795073500
50326328,1.703000,0.000000,0.000000,1023.44,1021.48,1022.86,1021.85,0.0,0.0,0.29,0.07,0.2,0.01,1388.78,644.5535442711200,679.309643520076,-0.3287589662800950,637.7350568320530,332.9901028167050,3.1235893589869700,633.19309065227,53.83479544563740,-0.5090170372999450,1.1260964016983500,-1.3200502795073500
50326428,1.802000,0.000000,0.000000,1023.53,1021.36,1022.78,1021.83,0.0,0.0,0.3,0.09,0.18,0.01,1389.35,644.6011882225250,678.059528835553,-0.5167835544545830,634.3537742228980,333.076720597204,4.0101568659384900,623.8334960158520,54.55435067518780,0.899989447291091,1.7014209622972600,-1.2397082105987900
50326528,1.902000,0.000000,0.000000,1023.63,1021.33,1022.88,1021.89,0.0,0.0,0.32,0.09,0.2,0.0,1389.7,644.5719090047290,677.7982129753580,-0.6939624862155400,635.9790516580330,333.11921072214900,3.7153984945012100,627.2914559618310,54.772925701843900,0.369196721061454,1.4280896091657400,-1.068474276826740
50326629,2.003000,0.000000,0.000000,1023.57,1021.22,1022.89,1021.78,0.0,0.0,0.31,0.11,0.2,0.02,1390.04,644.6443388577420,677.5277489607200,-0.5533422923333930,637.4525609398340,333.1107227566120,3.184666245326060,631.7142704384370,54.83720882606980,-0.25417946540419700,1.1962203318942300,-1.2111092732397300
50326729,2.104000,0.000000,0.000000,1023.61,1021.34,1022.86,1021.83,0.0,0.0,0.32,0.09,0.2,0.01,1390.07,644.5416057773610,677.1395161318580,-0.6497238827190450,638.8516593789140,333.17267518216500,2.9468751515801100,634.7752200545750,55.202166484608600,-0.3706305143663700,0.9477081615472480,-1.055233569694420
50326829,2.204000,0.000000,0.000000,1023.6,1021.36,1022.88,1021.72,0.0,0.0,0.32,0.09,0.2,0.04,1390.31,644.5708709091780,676.6729476927380,-0.566214712651858,639.2510178375900,333.219849482484,2.7731377842559700,636.1068999764620,55.5588551816922,-0.29544291980029800,0.8874013877337970,-1.1260368759515000
50326929,2.304000,0.000000,0.000000,1023.49,1021.38,1022.8,1021.7,0.0,0.0,0.3,0.08,0.19,0.04,1390.43,644.5768447856990,676.5107291352010,-0.593275070583475,638.4442031206010,333.2914542024280,3.007708511262750,634.6193072957560,55.95242740080590,-0.2563338274072510,1.0236520020700400,-1.2571645938906600
50327029,2.403000,0.000000,0.000000,1023.5,1021.46,1022.78,1021.79,0.0,0.0,0.3,0.07,0.18,0.02,1390.54,644.6373196956930,676.6970711724810,-0.6818892822035210,637.0080235055010,333.650496057479,3.501434285623170,630.9838903773840,56.31132738109640,0.26564296189803600,1.2740381522967700,-1.3037402173954500
50327129,2.503000,0.000000,0.000000,1023.39,1021.46,1022.81,1021.83,0.0,0.0,0.28,0.07,0.19,0.01,1390.52,644.8360087548470,677.1033340877230,-0.7965263709002200,635.5287107261850,334.0719073688030,3.797589041880350,627.3551737165040,57.0476906348237,0.5512216064435320,1.5541960669165500,-1.4183833752440300
50327229,2.604000,0.000000,0.000000,1023.36,1021.55,1022.77,1021.92,0.0,0.0,0.28,0.06,0.18,0.0,1390.64,644.981064388316,677.3324356354680,-0.7888321678397890,634.5891154729160,334.46579807594500,4.096701828307980,624.8521520332940,57.628271514282600,1.2893603271418,1.736046980930740,-1.457710153499590
50327330,2.705000,0.000000,0.000000,1023.47,1021.51,1022.82,1021.78,0.0,0.0,0.3,0.06,0.19,0.02,1390.41,645.33771527904,677.3853121224930,-0.7208144368792220,634.9602943140650,334.64499637442300,4.130908108419580,624.5576884808690,57.908134139915900,1.2735787962149100,1.7342600290267000,-1.3157713785441100
50327430,2.804000,0.000000,0.000000,1023.57,1021.42,1022.95,1021.83,0.0,0.0,0.32,0.08,0.22,0.01,1389.38,645.354678544185,677.4498697785270,-0.8083740826955110,635.8041586847730,334.70736926075900,3.9114789010969100,626.8103491117050,57.8154892534511,0.9234451643169910,1.5961338849880600,-1.3318801614730900
50327530,2.905000,0.000000,0.000000,1023.61,1021.23,1022.9,1021.73,0.0,0.01,0.32,0.11,0.21,0.03,1389.47,645.3478057616060,677.3852592666930,-0.7018057623162490,637.287241176623,334.60656116861200,3.4396041469730600,629.9557513174670,57.647921344776500,0.42869429502543800,1.3470826351255200,-1.1778184609614900
50327631,3.004000,0.000000,0.000000,1023.66,1021.14,1023.01,1021.71,0.0,0.01,0.33,0.13,0.23,0.04,1389.75,645.3673285812330,677.4077208231350,-0.7480165997215780,638.6464339701050,334.5415396680270,2.94619018383456,633.462938785065,57.59175618382000,0.33306156023500400,1.1229733555948100,-1.1737027768835600
50327731,3.104000,0.000000,0.000000,1023.6,1021.27,1022.88,1021.63,0.0,0.0,0.32,0.11,0.2,0.05,1389.9,645.3283159789580,677.3635972229160,-0.8397552367822930,639.2399563091540,334.50376247693000,3.0149976076237300,635.5774967795290,57.724011949697600,0.1333956235633900,1.0173272525938500,-1.2765382522302900
50327831,3.204000,0.000000,0.000000,1023.58,1021.39,1022.85,1021.85,0.0,0.0,0.32,0.09,0.2,0.01,1390.06,645.3400118599230,677.3712859855020,-0.85824758102132,639.0731074192900,334.48936319251400,3.1108547823688500,635.2870941996130,57.494278921778,0.09377303534334190,1.0470869899236400,-1.3110948419556700
50327930,3.306000,0.000000,0.000000,1023.41,1021.46,1022.81,1021.83,0.0,0.0,0.29,0.07,0.19,0.01,1390.29,645.3639236768350,677.3514480311040,-0.7859418240619060,638.3435596799650,334.5882561206240,3.1310590369978000,632.7790564161190,57.6898811018427,0.3723054523919560,1.173349429798950,-1.195447450300540
50328030,3.404000,0.000000,0.000000,1023.37,1021.38,1022.93,1021.88,0.0,0.0,0.29,0.09,0.21,0.0,1390.53,645.3482376969750,677.3868178758690,-0.8561222020300730,636.7215601256430,334.6301191782980,3.570632439072180,630.0727855541060,57.717747911014400,0.30895203707220300,1.4417453876503200,-1.5080609224332000
50328130,3.506000,0.000000,0.000000,1023.29,1021.38,1022.74,1021.81,0.0,0.0,0.27,0.09,0.18,0.02,1390.57,645.381885101805,677.4045435931240,-0.7286301139255160,635.5935525742450,334.7150048915490,3.9142444284500900,626.9345358496120,57.826266642759600,0.9761349051539870,1.6361097551494900,-1.4810181822343700
50328231,3.606000,0.000000,0.000000,1023.38,1021.29,1022.84,1021.77,0.0,0.0,0.29,0.1,0.2,0.03,1390.55,645.3612229518320,677.4130226981560,-0.6854157137306810,635.2954561873200,334.675335140565,3.9973203472120500,625.3044159317790,57.89653887077000,1.2447697521517900,1.6822200971344800,-1.2970997646607500
50328330,3.707000,0.000000,0.000000,1023.5,1021.32,1022.88,1021.7,0.0,0.0,0.31,0.1,0.2,0.04,1390.71,645.3342333195110,677.3655992271380,-0.8409924342087340,635.4802616724180,334.68641678326400,3.919244850498020,626.3838817119960,57.89861156204330,1.0632323997968700,1.6471249929625400,-1.4119536653872000
50328430,3.807000,0.000000,0.000000,1023.63,1021.24,1022.9,1021.78,0.0,0.0,0.33,0.11,0.21,0.03,1390.82,645.3297469136630,677.4363550083410,-0.8001297421245540,636.5944896219600,334.6336625247850,3.67164010600496,628.5541238039660,57.83291393879560,0.7181767821742150,1.459688331230260,-1.2555461704724400
50328531,3.906000,0.000000,0.000000,1023.52,1021.18,1022.92,1021.83,0.0,0.0,0.32,0.12,0.21,0.01,1390.77,645.3341459841000,677.3985100942790,-0.7794133418731860,637.9632080997140,334.5704989952730,3.3018745138670600,631.4143928271100,57.60673573524230,0.499112807208709,1.2316921627555900,-1.1088765438557500
