ezloophw-py logger started on:,2026-2-2_151021
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1030., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54624925,0.000000,0.000000,0.000000,1012.06,1011.96,1013.47,1014.46,0.0,0.0,0.35,0.33,0.59,0.76,1357.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54625025,0.001000,0.000000,0.000000,1012.01,1011.89,1013.5,1014.44,0.0,0.0,0.34,0.32,0.6,0.76,1357.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54625125,0.100000,0.000000,0.000000,1012.11,1012.0,1013.58,1014.47,0.0,0.0,0.36,0.34,0.61,0.77,1358.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54625226,0.200000,0.000000,0.000000,1011.97,1012.01,1013.56,1014.4,0.0,0.0,0.34,0.35,0.61,0.76,1359.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54625327,0.301000,0.000000,0.000000,1012.06,1011.95,1013.5,1014.5,0.0,0.0,0.36,0.34,0.6,0.78,1360.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54625426,0.402000,0.000000,0.000000,1012.17,1011.93,1013.49,1014.38,0.0,0.0,0.38,0.33,0.6,0.76,1361.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54625527,0.501000,0.000000,0.000000,1012.21,1011.88,1013.4,1014.44,0.0,0.0,0.38,0.33,0.59,0.77,1362.64,634.0498431108438,666.0715477800882,-0.187207500656002,631.5102288131483,315.8306615976153,1.7399728005471078,635.2001968752359,37.700997912506175,-2.899014471017605,0.41544730066955,-1.590997607391386
54625627,0.603000,0.000000,0.000000,1012.27,1011.98,1013.42,1014.46,0.0,0.0,0.39,0.34,0.6,0.78,1363.54,634.0498431108438,666.0715477800882,-0.187207500656002,631.5102288131483,315.8306615976153,1.7399728005471078,635.2001968752359,37.700997912506175,-2.899014471017605,0.41544730066955,-1.590997607391386
54625726,0.703000,0.000000,0.000000,1012.08,1012.01,1013.51,1014.46,0.0,0.0,1.0,1.0,1.0,1.0,1359.09,634.0585974159121,666.0771412396653,-0.1958934467324729,631.6347505649196,315.7929526582878,1.6606744782414897,635.5382571155218,37.699943921044145,-3.119749955022402,0.3964608817563405,-1.5971122917626799
54625826,0.803000,0.000000,0.000000,1020.08,1014.55,1026.07,1028.62,0.0,0.0,1.0,1.0,0.66,0.23,1356.64,634.0628034142403,666.079943086639,-0.17296435702540677,631.6670006217554,315.78557632294957,1.6450850299706476,635.5482474516549,37.7005316716795,-3.1035086666216425,0.39186256266744673,-1.5833532564003723
