ezloophw-py logger started on:,2026-2-12_152428
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
55471816,0.000000,0.000000,0.000000,1010.99,1011.01,1012.39,1013.18,0.0,0.0,1.0,1.0,1.0,1.0,1384.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55471916,0.000000,0.000000,0.000000,1022.3,1024.06,1025.29,1027.84,0.0,0.0,0.39,0.69,1.0,1.0,1381.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55472015,0.100000,0.000000,0.000000,1025.17,1025.4,1024.78,1025.55,0.0,0.0,0.54,0.58,0.56,0.71,1382.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55472115,0.199000,0.000000,0.000000,1023.21,1023.13,1022.7,1023.33,0.0,0.0,0.21,0.19,0.14,0.27,1384.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55472215,0.299000,0.000000,0.000000,1022.49,1022.66,1022.51,1023.23,0.0,0.0,0.08,0.11,0.1,0.25,1385.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55472316,0.399000,0.000000,0.000000,1022.51,1022.62,1022.5,1023.13,0.0,0.0,0.09,0.11,0.1,0.23,1386.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55472417,0.500000,0.000000,0.000000,1022.57,1022.66,1022.54,1023.18,0.0,0.0,0.1,0.11,0.11,0.24,1387.41,637.0871579371467,681.3559859636053,0.5476314766034686,614.255790003208,340.55592653175677,8.56567547847505,582.4748427408949,61.34063579864889,6.370537161614556,3.8327142513951253,-1.1718332875292052
55472515,0.603000,0.000000,0.000000,1022.58,1022.6,1022.41,1023.12,0.0,0.0,0.1,0.1,0.08,0.22,1388.05,637.0871579371467,681.3559859636053,0.5476314766034686,614.255790003208,340.55592653175677,8.56567547847505,582.4748427408949,61.34063579864889,6.370537161614556,3.8327142513951253,-1.1718332875292052
55472616,0.702000,0.000000,0.000000,1022.66,1022.55,1022.51,1023.2,0.0,0.0,0.11,0.09,0.1,0.24,1388.65,637.0605217028944,681.3195312818345,0.4968157962149339,614.7242849271412,340.5377952472245,8.489350610257688,583.2754935726081,61.2302358972739,6.2444424326157995,3.750037120403363,-1.0758807523189544
55472716,0.803000,0.000000,0.000000,1022.64,1022.56,1022.51,1023.3,0.0,0.0,0.11,0.1,0.1,0.26,1389.16,637.0758069119076,681.379271370169,0.5689736848072087,615.0779833091848,340.49120817082803,8.293360410567937,584.3330213285666,61.29328077185471,5.994403444167036,3.692230479797231,-1.1004328859487558
55472816,0.902000,0.000000,0.000000,1022.64,1022.56,1022.54,1023.17,0.0,0.0,0.11,0.1,0.11,0.23,1389.34,637.0577960376758,681.3252353452655,0.5061241545420356,615.5720416156207,340.51147297263066,8.261499067255032,585.0395490280456,61.031932108622456,6.0421156230048645,3.6072958114561153,-0.9798858057700617
55472916,1.002000,0.000000,0.000000,1022.6,1022.61,1022.44,1023.14,0.0,0.0,0.1,0.1,0.09,0.23,1389.72,637.038065112222,681.2708261798524,0.5539115399470362,615.6530580569731,340.4900482868403,8.254885810797935,585.8042798000065,61.11025855600469,6.005929932605124,3.5907720514923303,-1.0832287186960912
55473016,1.101000,0.000000,0.000000,1022.51,1022.48,1022.51,1023.12,0.0,0.0,0.09,0.08,0.1,0.22,1389.87,637.0607999472437,681.3288579396665,0.5137944858297112,615.4873222772376,340.50566616645483,8.233932001850603,585.387547880711,60.96965507683064,5.979706706707622,3.621884813955536,-1.0979754554305776
55473117,1.202000,0.000000,0.000000,1022.46,1022.55,1022.48,1023.21,0.0,0.0,0.08,0.09,0.1,0.24,1390.06,637.0840084537791,681.3706348203049,0.5789153338216003,615.3231094384874,340.49617682276215,8.319035614924717,584.6797349108614,61.23935026737207,6.092085735870377,3.652717436099904,-1.043315725541662
