ezloophw-py logger started on:,2026-3-16_144324
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
53007477,0.000000,0.000000,0.000000,1006.26,1006.57,1007.75,1008.51,0.0,0.0,1.0,1.0,1.0,1.0,1402.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53007577,0.000000,0.000000,0.000000,1006.16,1006.52,1007.63,1008.64,0.0,0.0,1.0,1.0,1.0,1.0,1401.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53007676,0.099000,0.000000,0.000000,1006.15,1006.5,1007.73,1008.57,0.0,0.0,1.0,1.0,1.0,1.0,1400.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53007777,0.198000,0.000000,0.000000,1006.26,1006.52,1007.71,1008.59,0.0,0.0,1.0,1.0,1.0,1.0,1400.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53007878,0.299000,0.000000,0.000000,1006.28,1006.49,1007.72,1008.56,0.0,0.0,1.0,1.0,1.0,1.0,1400.15,0.0,0.0,0.0,0.0,0.0,0.0,326.1971537179522,449.2215076144541,6.633215105954078,323.85965058229135,219.3567533185297,7.4153778101580885,324.35372675008193,29.6931725377245,-5.703771622720759,0.5826228055910797,-1.3145015464621144
53007977,0.404000,0.000000,0.000000,1006.21,1006.6,1007.67,1008.56,0.0,0.0,1.0,1.0,1.0,1.0,1400.12,0.0,0.0,0.0,0.0,0.0,0.0,326.1971537179522,449.2215076144541,6.633215105954078,323.85965058229135,219.3567533185297,7.4153778101580885,324.35372675008193,29.6931725377245,-5.703771622720759,0.5826228055910797,-1.3145015464621144
53008078,0.501000,0.000000,0.000000,1006.27,1006.54,1007.7,1008.63,0.0,0.0,1.0,1.0,1.0,1.0,1399.95,0.0,0.0,0.0,0.0,0.0,0.0,326.1935708906421,449.22832260569265,6.6562308895624485,323.86456004417926,219.3568691052525,7.4322793076030695,324.33130476237966,29.708510228081973,-5.696959977515417,0.5804893303951516,-1.301989364114807
53008178,0.603000,0.000000,0.000000,1006.25,1006.5,1007.64,1008.47,0.0,0.0,1.0,1.0,1.0,1.0,1399.74,0.0,0.0,0.0,0.0,0.0,0.0,326.18542167185916,449.2153311648584,6.6336648859054534,323.8602160309042,219.36478263024398,7.452578409574945,324.36659342557624,29.692313705008704,-5.720626667807998,0.5795936806259272,-1.3121522000028532
53008278,0.702000,0.000000,0.000000,1006.25,1006.53,1007.71,1008.51,0.0,0.0,1.0,1.0,1.0,1.0,1399.66,0.0,0.0,0.0,0.0,0.0,0.0,326.19975705442937,449.2144049786378,6.648568991259562,323.8727354771592,219.36484196033854,7.436356765811146,324.350850860599,29.69920894972522,-5.713098114793737,0.5800487869590385,-1.3045303587659236
53008379,0.802000,0.000000,0.000000,1006.28,1006.55,1007.67,1008.53,0.0,0.0,1.0,1.0,1.0,1.0,1399.56,0.0,0.0,0.0,0.0,0.0,0.0,326.2004479873295,449.2235221626078,6.630275876364163,323.86513870363194,219.36400843921317,7.421110822483676,324.3572160490867,29.69672343507205,-5.719355459730518,0.5820892953423611,-1.3128277993768025
